0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Dark knight,Final Fantasy XI,Destruction,"Dark Knights are melee damage dealers specializing in the use of Great Swords and Scythes. While they have a respectable rating in Elemental Magic, the bulk of their magic usage comes from casting Dark Magic spells to drain or enfeeble their enemies."
2,,Free,Blackmage,Final Fantasy XI,Destruction,"Through devastating magic spells, Black Mages bring tremendous firepower to the battlefield. A Black Mage's job is simply to cast offensive spells and destroy enemies. Although they are known for their Elemental Magic, they also possess a few highly-valued utilitarian spells. While a black mage cannot attack from the front lines of battle their long range spells are feared throughout Vana'diel."
3,,Free,Skillchain!,Final Fantasy XI,Destruction,"A Skillchain is the result of performing a sequence of abilities such as Weapon Skills in a certain order with proper timing. When two attacks connect with a target in succession, a powerful surge of energy is released, inflicting additional damage to the target above and beyond what your weapon skill would normally be able to achieve on its own. You can now perform such skillchains in battle, and after this jump there is a chance that should you and others perform such special attacks quickly in succession you may trigger a skillchain to your target, dealing varying degrees of extra damage."
4,,Free,Tactical Points,Final Fantasy XI,Destruction,"Over the course of a battle every combat class builds what are known as Tactical Points or TP by participating, damaging opponents, being damaged by opponents or even some special skills accumulate TP, once your TP reaches a certain level it can be used to unleash a powerful attack called a Weapon Skill, these skills do much more damage than normal skills and can often turn the tide of a battle if used correctly. Some classes, such as samurai and dancer, rely on TP more than others but also have their own special skills because of it. You also now generate Tactical Points in battle and are able to perform weapon skills when it reaches a high enough level."
5,,Free,Yang it!,Worm CYOA v17,Destruction,Any impact that lands on you will be absorbed and increase your strength. It will still harm you as much as the level of impact can. The increase in strength is equal to the power of the impact and lasts as long as you've been hit within the last five minutes.
6,,Free,Magebreaker,Gods of Blood and Powder,Destruction,"A magebreaker is a Privileged who forsook his connection to the Else and gave up his incredible power to cast magic in order to become the opposite: something immune to magic. Magic fire won’t harm you, magic gusts of wind will leave you standing and you can see through illusions and step through wards. In close proximity you can shut off the connection of a Privileged to the Else entirely, making them unable to cast magic. Whatever level of Privileged power you’ve purchased, can be converted into being a magebreaker by giving up your magic out of your own free will. A magebreaker seems to be slightly stronger than the level of Privileged they were before. A subpar Privileged becoming a magebreaker would be immune to the magic of even a royal cabal member. A Peredii would still be able to get past that, so you’re lucky there’s not many left. Powerful Magebreakers, like the gurlish wolf who had been a royal cabal level Privileged before forsaking his magic can cast a net of nullifying power over a wide area, completely rendering his entire company of dragoons and crussairs immune to enemy magic and shutting down the abilities of enemy sorcerers.

Requires Privileged to Purchase"
7,,Free,Base Proficiency,RWBY,Destruction,"Things are about to get heated around here Jumper, with Kingdom spanning conflict on the Horizon. It’s for the best if you could actually hold your own in a fight. As such here a bit of a start to make it easier to keep yourself alive. With this Perk alone your roughly equal as capable in combat as Jaune Arc at the end of Volume 1, alongside knowing how to use your own Weapon and the basis for your own unique style. Training will of course see you improve but you at least won’t be a burden at the start. If you want to start with a bit more experience, there are some options to upgrade this Perk."
8,,Free,Limit Break,Final Fantasy VIII,Destruction,"When you're at the end of your stamina and are ready to collapse in battle, you can activate a special move called a Limit Break. Utilizing true magic, which normal humans can only perform in this situation, you unleash a devastating attack of your own style and choosing. Flying sword or martial arts combos, magical spells, supernaturally accurate shots, huge energy beams, a combination of any of these, and more are just examples of what can be done with a Limit Break. Sorceresses are exempt from the need for a Limit Break to use their true magic, and magic from outside of this setting is also free from this restriction."
9,,Free,Still More Fighting,Final Fantasy VII,Destruction,"This isn't a story about ordinary people, but one about strange and often messed-up individuals fighting for things they believe in. You're also going to need to be able to hold your own in a fight if you want to get involved and stand up for anything you yourself want to believe in. Even ordinary humans who haven't been through the SOLDIER program or touched by some other external power would be considered superhuman on modern day Earth when they're experienced enough.

While it will still pale in comparison to SOLDIER and some of the stronger monsters of this world, you start physically fit enough that you could lift and swing a weapon twice your size and weight without issue, durable enough to survive magical fire and bullets with minor wounds instead of major injuries or death from the get-go, and fast enough that dodging machine gun fire isn't too improbable for you. These physical abilities of yours will grow as you defeat stronger enemies, soon being able to lift something several times your weight and catch yourself from a thousand-foot drop without suffering a scratch. That in mind, you're not invincible or stand a good chance of surviving the deadliest foes without some gear. Having good armor, weapons, and Materia will serve you better than trying to fight giant robots with only your bare hands and grit.

Additionally, you have a unique fighting style tailored to you. Whether it involves wielding a large sword, martial arts, guns, or even something like an absurdly large shuriken, you have a specific weapon type and style that you can wield with ease against all logic. This doesn't provide any obviously supernatural or unique benefits...that's for what comes after this."
10,,Free,Warrior,Legends of Runeterra,Destruction,"Everyone must have a way to defend themselves. With this perk, you’re a warrior of exceptional skill, able to fight overwhelming numbers and mighty beasts with equal ease. Comes with peak human body and an increased capacity of improving your physical abilities, as well as competence in all weapons and reducing the weight of any armor you wear."
