0,,CP Cost,Name,Jumpdoc,Chapter,Description
1,,Free,Iconic Music Set,Final Fantasy XI,Illusion,The soundtrack from the FFXI games will play for you whenever you choose and if you wish you can allow other people to hear it too.
2,,Free,Slavov OST,Baldur's Gate 3,Illusion,"You may choose to have epic of soundtracks that will accompany your adventures, all
composed by a specific artist that works for Larian Studios. This music isn’t distracting in any
shape or form, and you can make it so that others can hear it too. During battle it will change
into tone depending on the situation."
3,,Free,The Most Remixable Song,Fate/Stay Night,Illusion,"Everyone gets one, sooner or later. You’re able to play your very own personal version of the Emiya theme song. Remixed using any of the existing versions as a base, it’s a surprisingly epic yet fitting theme for you. If you want, your opponents and allies will also be able to hear the song, though it won’t be loud enough to be very distracting. It’ll definitely help get you guys hyped up though."
4,,Free,Mist: Phobia,Final Fantasy IX,Illusion,"The Mist, much feared by those who fail to understand it, has propagated for ages over the Continents to varying degrees – so much so that it is now considered a fixture of Gaia rather than an oddity. You can manipulate Mist to a limited degree, inflicting upon those who are immersed in it a crippling sensation of panic.

Without Mist around, you can naturally conjure a small amount of Mist by converting it from magical power, cloaking yourself in it like a shroud. In areas of high Mist concentration or after burning a large amount of magic, those affected by the Mist will start seeing images of their phobias."
5,,Free,HD Remake,Final Fantasy VII: Remake,Illusion,"Give the world the Square Enix treatment! With this perk active, each setting you visit will come alive. Your environments will seem more detailed while light and shadow stand in greater contrast. Even people look better while this perk is toggled. You also gain a glorious soundtrack to accompany you on your adventures, one worthy of Hamauzu himself. You may decide to apply these enhanced aesthetics to future worlds, as well as whether your accompaniment plays out loud or just in your head. Enjoy those next-generation graphics, Jumper!"
6,,Free,Far Horizons,TES V - Skyrim,Illusion,"The lands of Skyrim are beautiful, if one takes a break from their adventures to simply look.
From golden forests, to silver mountains, to misty swamps, to green pastures, there are plenty of
locales to visit and enjoy. However, what’s worth a pretty view if there isn’t equally pretty music
to accompany it? Now, every time you take a break and watch your surroundings, a song will
softly play in your head, as if you had an orchestra inside your mind. These songs will always
somehow capture the feeling of your surroundings and the look of landscapes you can overlook.
The peoples of Skyrim value combat above all, but remember to look upon the far horizons of
Skyrim and admire the beauty of the natural world. It’s quite soothing."
7,,Free,An Epic Soundtrack,Germanic/Norse Mythology Jump,Illusion,"At any time you may have an epic soundtrack of old and new original music, just for you and your adventures, by the likes of Richard Wagner, Patrick Doyle, Brian Tyler,  and Mark Mothersbaugh. It plays in your head or accompanies you in the world for all or selected people to hear wherever your power and presence may be, it is always appropriate to events or just your mood and whims as needed and you can always recall previous songs and put them on record if you like."
8,,Free,Demon-Slaying Tunes,Demon Slayer,Illusion,"Every superhero needs their theme music...but you aren't a superhero.
Instead, you're an epic swordsman or powerful demon, and as such, your music reflects that, as well as the
power of anime music teams. You have a personal soundtrack, including your favourite Demon Slayer
songs and some custom tracks in the same style, that you can toggle on and off at-will. Oh, you already
have soundtrack perks, you say? Well, no problem - just add these tunes into your playlist whenever you
want!"
9,,Free,Ghost Equipment,Worm CYOA v17,Illusion,"You can make any equipment you wear shifted to another space but still keep its benefits and functions. For example, you can wear power armor and be strong, but look like you are wearing normal clothes. The invisible equipment will still protect you from damage and need to be repaired if you take too much damage. It is like having a hidden layer of gear over your outfit."
10,,Free,Super Dream,Worm CYOA v17,Illusion,"Whenever you sleep your consciousness is transported to simulated reality designed by your power to provide various methods to experiment and train your power to its fullest extent in a safe environment. Powers with limited resources do not consume them in this world. There is no sapient life in this world, just soulless Automata for you to practice on. This world and your body in it is entirely mental/simulated only useful to build skill and muscle memory. Time spent in Super Dream counts as proper sleep for the purposes of body maintenance. It is not just powers this helps train if you for example wish to develop your skills as a mechanic it will provide opportunities for you to develop the skill as long as you put the work in, do this enough times for multiple different disciplines and people might think you have a tinker power or multiple thinker powers even if this is your only power."
11,,Free,Epilepsy,Worm CYOA v17,Illusion,"Anyone you hit with this blast will start getting migraines and seeing flashing colors. The blast hits with the force of a strong punch and travels at twenty miles per hour. This can temporarily stop a Thinker's power from working, for maybe 10 seconds."
12,,Free,Faker,Worm CYOA v17,Illusion,"You specialize in making fakes. This includes creating fake weapons, bodies, and other objects. Your imitation items are convincing to most, but thinkers and tinkertech users can detect their true nature. Your creations, no matter how perfect, will still be a fake. If you make a fake gun, it won't fire, and a fake shield wouldn't be able to protect you."
13,,Free,Fitting In,Worm CYOA v17,Illusion,"You have a perfect instinct for navigating social circles and situations. Able to effortlessly blend into any situation, you are a true social chameleon."
14,,Free,Privacy,Worm CYOA v17,Illusion,You are able to summon an intangible curtain that may selectively reflect both light and sound.
15,,Free,Tattoos,God Of War (2018),Illusion,"Like most characters from God of War you now have the option to gain some excellent ink on your skin. Pick any style that you wish, simple and intimidating like Kratos, artful and complex like Baldur and Freya, or just some small Norse runes like Atreus has. They can become darker and more prominent when using your powers or fighting, while fading out during long times of peace."
16,,Free,Wicked Tune That Will Destroy My Silence         ,Fate/Apocrypha V1.4,Illusion,"You now have theme music, which you can have at any time, either audible to only yourself or shared with others. It can’t be used as a distraction or to deafen or otherwise inconvenience others, but it certainly makes fights more epic. You can share this ability with your allies, either giving them your theme, a remix, or letting them pick their own."
17,,Free,Imposing Declaration of Title,Asura’s Wrath,Illusion,"Whenever you do something dramatic or just something really badass, perception of you changes for a split-­second. Observers see the title or high-­concept description of your current state or action as awesome block characters superimposed on their vision. This applies to named attacks/combat maneuvers, legendary weapons, companions and so on."
18,,Free,The Song of Your Heart ,Senki Zesshou Symphogear,Illusion,"In addition to an improvement to your singing skills and ability to compose songs you are no longer reliant on your mouth to deliver your songs. You may freely sing and speak simultaneously, as your heart broadcasts your song (plus appropriate musical accompaniment) without necessity for such things as atmosphere, breathing, or instruments. This can be freely toggled but doesn't require further concentration once activated unless you wish to use non-Relic based singing abilities alongside it.
"
19,,Free,Raiment ,Generic MG,Illusion,"The raiment of a magical girl is usually frilly, will probably have ribbons or a bow, and almost always has a skirt. (I suggest you follow my lead and at least wear shorts or something underneath. See?)

While those might sound impractical to some Jumpers, especially those with more combat experience, don’t worry: your raiment will never get caught in something, trip you up, or interfere with your movements. It’ll even make sure your hair never does that either.

In addition, the raiment is technically a form of armor, so you can import existing armors into and import the transformation trinket into other armors later.
"
20,,50,Trampling On Your Dignity,Medaka Box Abnormal Jumpchain,Illusion,"If you’re going to send a message, you might as well do it in complete overkilling style. There’s really
no other way to go about things. Whenever you want, you’re able to call up text in whatever font
and size you want to float around you in the air, spelling out anything you want the words to spell
out."
21,,50,Viðurnafni,Germanic/Norse Mythology Jump,Illusion,"A nickname or title that you have earned. You can choose to be known by this and all who hear this title or nickname will know of your deeds and the truth that these deeds hold; they form a web of stories and events within your past that can be known. Every jump you may change the actual nickname and the details of the story that granted you this nickname and how widespread each nickname is. Beware if you do not possess the skills of such a title for should you be found out, doubt can spread to all the tales and titles for which you are known. This perk can write events or fake events into your backstory as needed in each jump, or simply carry the weight of the intent behind the title. Each title, whether true or false, whether believed or distrusted, carries weight and as such grows your hamingja. Your first purchase is free.

May purchase multiple times."
