Cost,Perk Name,Source,Description
50,Common Sense,Generic First Jump,"The least common advantage of all. You can tell when something you are about to do is contrary to basic common sense and rationality, or when you are about to do something your Benefactor will punish you for. You can also tell when your emotions are clouding your judgement."
100,Adorkable,Arrowverse,"Everyone knows the brain is the sexiest organ, and you prove that your brain makes you sexier. When you're using your intelligence you appear to others to be more attractive. That being said more intelligent you are, the more intelligence you can show off and more attractive you become. Throwing on a pair of glasses helps you appear attractive faster."
100,Anticipate the Meta,With This Ring,"​Anyone could tell you that spending ten years learning a spell to make walnuts taste slightly like hazelnuts is a waste of time, but not all potential actions are as clear cut. You gain an intuitive sense of how useful a branch of research or practice is likely to be for your circumstances, divorced from personal or societal biases, to the point that you’ll wonder why no one asked the Atlantean biomancers to grow organs for the surface world, or why the supervillain is bothering holding up a bank when he could make more money as a truck driver."
100,Beautiful Mind,Generic Gamer,"It’s hard to really define what intelligence is, precisely, but you have it. Much of that which people mistake for high intelligence is in fact good memory, though you have that, too; the only way you’ll ever forget something is if you want to, with all else remaining caught in the steel trap that is your mind. You’re able to process more, your brain never seeming to get overloaded, nor worn down by overuse; your processing power is such that you can follow two trains of thought at once. And, of course, you’re able to make connections almost instantly where they can be made; you could make a passable impression of Sherlock Holmes."
100,Benadryl Cabbagepatch,Invincible,"You have an incredible ability to make inferences and be correct. You truly are a natural at inductive and deductive reasoning, able to use logic to fill in the gaps in your knowledge, you can guess with reasonable accuracy when others would be left scratching their heads in consternation. This sort of deduction is quite useful when trying to reverse engineer advanced technology."
100,"Charity, Kindness and Fairness",Fate/Grand Order,"Chivalry may be a difficult code to follow but you have it a little easier than most. You have the uncanny knack of being able to always make a fair judgement, regardless of whatever your feelings are on the matter at hand. No matter what situation, you know what the fairest resolution to all parties will be, if there is one. If there isn’t, you’ll be aware of what the closest substitute is. This knowledge may not be too helpful if you’re not in a position to decide such matters but to make up for that, this knowledge will also make you a much more skilful negotiator in hopes that you will be able to put yourself in such a position. You could do a lot of good with this good judgement."
100,Eidetic Memory,Naruto,"You possess a memory that will never forget anything and with an instant recall attached to it. Furthermore, no matter what, you will never be able to forget anything unless you consciously choose to forget."
100,FAIRNESS,Medaka Box Abnormal,"You’re as impartial as impartial can be. Your abnormality allows you to enter or exit a state in which you are completely free of any bias and act with total impartiality. Everyone who sees you in this state will know that you are genuinely impartial too, allowing you to serve as an entirely fair judge and referee for anything they care to name."
100,Fists of Justice,Generic First Jump,"Pick a martial art. Kung Fu, Judo, Jeet Kune Do, Savate, whatever. You are an expert at this form of fighting. It won’t let you fight Superman, but it will give you a handy advantage against someone your level."
100,Know My Limits,Dragon Ball Z,"There is a physical limitation on your body, one you may be all too painfully aware of. The moment where you’re strongest and your physical form goes ‘no further’. You are now fully aware of your physical limitations and internal energy reserves, so much so you could form a mental ‘health meter’ and ‘stamina meter’ in your mind without any real thought. It makes it all the more satisfying when you push past those limits, and you will know how close you are to that point."
