Cost,Perk Name,Source,Description
0,Paralyzation,My Hero Academia,"The user of this Quirk is able to lock up the muscles of a target’s body, paralyzing them. It can work on just about anyone, but has severe limitations with its use. The user requires three seconds of sustained eye contact with the target before activation. Additionally, either party breaking eye contact causes the effects to wear off."
0,Interject,My Hero Academia,"The Quirk user has the ability to disrupt a target’s chain of thought by interrupting them as they speak. This causes them to completely lose track of whatever they were talking about, allowing the user to stop speeches or arguments in their tracks. No long term memory effects."
0,Mustard,My Hero Academia,"The user of this Quirk has small antennae that give them an acute sense of gravity, allowing them to always tell up from down even while disoriented. This inherently gives better coordination as the user is able to twist and flip while always knowing up from down. It also gives a general sense of day and night by sensing the moon’s pull. The user of this Quirk gains no inherent additional agility to better make use of their Quirk, needing to become better at it themselves."
0,Peeper,My Hero Academia,"The Quirk user has x-ray vision, allowing them to see through solid objects and surfaces to peer at what’s beneath. The thicker and/or denser something is, the more difficult it is to see through. Perception of what lies underneath becomes blurrier and unclear. Difficulties begin with anything thicker than your pinky finger. You really should be careful where you’re aiming this. Some things are better left unseen."
0,Brail,My Hero Academia,"The Quirk user has a heightened sense of touch that has a complex interaction with the language processing sections of the brain. Through this, the Quirk user is able to read from physical mediums of writing such as magazines or books by simply laying their hand on the cover. The Quirk user must know the language they’re attempting to read. Doesn’t work with text not recorded in a physical medium, such as that on a computer screen. Only a few times faster than reading it through ordinary means."
50,Enhanced Sense - Sight,Justice League Unlimited,20/10 vision by default and eyes so healthy you'll never develop any visual impairments. Not only is your vision perfect you're also capable of focusing and magnifying your vision to clearly perceive things on a microscopic scale or from several hundred feet away.
50,Enhanced Sense - Hearing,Justice League Unlimited,"From listening to the quietest of background conversations to hearing a signal normally inaudible to the human ear an entire city away, you can clearly perceive pretty much any sound within a massive area, however you'll have to filter out most of the background noise in order to keep yourself from going insane."
50,Enhanced Sense - Smell,Justice League Unlimited,"Hunt someone down by the scent of their blood or detect hazardous substances from several hundred feet away, your sense of smell is better than that of many animals on earth and can be used as a valuable tool in things like hunting or detective work."
50,Enhanced Sense - Taste,Justice League Unlimited,"Your taste buds are so sensitive that you can detect flavors from across an entire room, and tell if something's poisoned or expired with 100% accuracy. After enough time you could probably use this ability as a limited substitute for your actual sense of smell."
50,Enhanced Sense - Touch,Justice League Unlimited,"Your sense of touch is sharp enough to detect the faintest bit of texture, movement, and temperature of anything you come in contact with. You could feel out an imperfection on something that looks perfect or even tell when someone’s approaching you by the sensing the subtle shifting air currents."
100,Sherlock Scan,Generic First Jump,"When examining a location, object or situation, the parts of it that are important or relevant to you in some way will stand out, calling your attention to them, without distracting you from your surroundings."
100,Collector’s Eye,Generic First Jump,"You can always tell if an item, technique, person or whatever will fit into your collection. You can also instantly determine an object’s value and have a perfect memory for the contents of your collection."
100,Zoom,My Hero Academia,"This Quirk allows the user to zoom with their eyes to see farther away with greater detail and clarity, with a maximum range of 5 kilometers. The user of this Quirk narrows their peripheral vision as they zoom, causing them to potentially miss things readily apparent in their default line of sight while focused on something far away."
100,Infrared Ray,My Hero Academia,"The user of this Quirk is able to scatter infrared rays that they can use to sense their surroundings in every direction well enough that they could function fine while blind. This increase’s one’s situational awareness. The Quirk picking up on things outside of human perception allows a limited ability to sense someone’s emotions by focusing in on them. The sense is hazy unless focused however. The infrared rays may be scattered and disrupted by certain kinds of electronics and sensors as well, nullifying its usefulness."
