0 CP,Titanium Armor,OOC - Dr Doom,"This could be considered an antique. This heavy suit of armor is made out of a titanium alloy
and comes pre-packaged with air conditioning and braces to help with mobility. What it does
have that makes it worth JUMPER’s time is its potential. Here are a few upgrades to make this
armor a true magnum opus. You can import a preexisting armor into this if you wish."
0 CP,STC Print,Warhammer 40k - Black Crusade 2,The dataslate you were given has a peculiar file on it when you accessed it you find a full blueprint you could use to repair or replicate your armor even after the modifications the Tech-Priests are performing. Isn’t that nice? It is. You’re welcome.
0 CP,Armor Plating,Warhammer 40k - Black Crusade 3,"A fortress only lives up to its name if it is durable as the name implies. Otherwise it’s more of a paper castle to be laughed at and toppled over on a sunny day. Fortunately, there’s enough Plasteel and Ceramite around the ruined city to start making bulkhead plating and thick protective layers to ensure that your domicile does not fall prey to the dangers that will arrive. Constructed walls are also included, for the purposes of keeping enemies from simply being able to pile in."
100  CP,Breath Mask,Star Wars - KOTOR," Air recycling mask that protects against poisons and allows the wearer to breathe underwa-
ter and in a vacuum. Powered by a rechargeable battery."
100 CP,Carapace Armor ,"Warhammer 40k: Ciaphas Cain, Hero of the Imperium",Given that grunts ending up in a lot of the worse situations it pays off to have some additional armor. This is a set of carapace armor worn underneath your uniform. It provides an additional layer of protection and may be the difference between life and death on the battlefield.
100 CP,Custom Armor ,Mass Effect - Andromeda,"This is your custom hardsuit, and you brought it with you from home (whether that be Milky Way or Andromeda). You may pick any armor that is in the Mass Effect universe. If you would rather pick a set of custom pieces instead of a single suit, go right ahead. You may want to make sure it will complement your preferred combat style. As a bonus, you will also get blueprints for your armor so you can make additional copies."
100 CP,Iron Halo​ ,Warhammer 40K -- Adeptus Astartes,"As much of a badge of office and a sign of valor as anything, an Iron Halo is issued to only proven veterans of the Chapter. In addition to signifying a Marine’s valor, it also contains a very powerful Conversion Field generator, making the already durable Astartes even harder to damage, the field capable of taking direct hits from Lascannons before burning out and requiring repairs."
100 CP,M3 Pattern Armor ,Aliens vs Predator,"This is a set of standard USCM armor and combat fatigues. It includes a helmet, comms, biometrics/camera link, greaves, torso armor. You can have a custom piece of artwork on the armor panels if you like. This gear can be combined with the Armored Pressure Suit to upgrade it to a Mk. 35 Compression Suit; the combat variant of the pressure suit with tougher armor, longer life support and better mobility."
100 CP,Super Environmental Suit ,Orville,"A suit that protects the user from hazardous environmental effects such as extreme gravity, toxic atmosphere and scorching temperatures. Useful for anyone who wishes to explore or travel hostile worlds. Furthermore, it will return to you if lost or destroyed in one hour, and you have blueprints to create more."
100 CP,Re–sized Yaut'ja Armor ,Predator,"An ablative armor vest which protects against Yaut'ja energy weapons and conceals your thermal signature. It's not much good against their blades, or different vision modes."
100 CP,Bio-Mask,Predator,Bio-Mask (human air mix if you are human)
100 CP,Combat Armour,Fallout Series,"This set of armor is standard issue across the US military, and for good reason. It offers decent protection without limiting the range of movement. This can come in any color you want, or it can be winterized, letting you be comfortable in cold environments."
100 CP,Leather Jacket,Fallout Series,"You know what's cooler than cool? You are, especially while wearing this badass leather jacket. It's surprisingly durable and has an emblem of your choice stitched onto the back of it. But the best part is that it's breathable, meaning that you won't be burning up while wearing this in a desert."
100 CP,Lucky Shades ,Fallout Series,"Are you feeling lucky, punk? Well, you should, as that's what these are for. This snazzy pair of shades not only protects your eyes from bright lights, but so long as you wear them, you will be luckier than before. Games of chance go more in your favor, you'll find slightly better loot, that sort of thing. For some reason, these shades will never fall off your face, regardless of how much you move around."
100 CP,Ballistic Weave,Fallout Series,"As good as armor is, sometimes it doesn't have the same flair as a nice suit or dress. You can fix that with this high-quality ballistic weave, granting any clothes pretty good protection from both ballistic damage as well as energy damage. You start off with enough for a three-piece suit, though it does replenish weekly, as well as there being notes on how to make more."
100 CP,Phase I Clone Armor,Star Wars Movies Compilation - The Star Wars Saga,"This clone trooper armor was the standard issue armor that was used by the clone troopers of the Grand Army of the Republic during the early phase of the Clone Wars.The armor is blaster resistant while being pressurized to offer protection from extreme temperatures and temporary protection from the vacuum of space. Inside the Phase I helmet is a life support system, a tracking device for monitoring troop movements, and a display screen, which was built into the helmet's viewplate.
"
