0 CP,Omni-Tool,Shepard Quest,"This is a standard Omni-tool, a wrist-worn multifunction device. It can provide communications, scans, translations, small-scale basic fabrication, general computation, and device interface as well as combat abilities like EWAR, combat fabrication, and energy blasts. It has enough computing capability to run a “VI” Assistant while still running other apps at full speed. Yours also auto-upgrades to keep up with the best Paragon Industries omni-tools."
0 CP,Restraining Bolt and Caller ,Star Wars Movies Compilation - The Star Wars Saga,"This remote control-like device is named a caller, it can produce small, cylindrical devices named Restraining Bolts that respond to signals produced by the caller. When a Restraining Bolt is affixed to a droid it will limit its functions and enforce its obedience. When inserted, a Restraining Bolt restricts the droid from any movement its master did not desire.
"
0 CP,Dataslate,Mass Effect - Legendary Edition,"This dataslate functions much like you would expect it, being able to store large amounts of data as well as possessing a touch screen. Not only can it connect to any local extranet, but it has downloaded the complete Citadel Codex, the history of this Cycle as presented by the races considered a part of the Citadel."
100 CP,Motion Tracker ,Aliens vs Predator,"A handheld motion tracking unit which uses ultrasonic doppler pulses to trace nearby
movement through air motion. It has a top range in open terrain (optimal conditions) of 1000m,
but inside its max range is only around 20m. Just mind you don’t shoot any friendlies by
mistake. This unit’s nice and light to carry."
100 CP,Hair Nanites,Andromeda,"You have nanotechnology in your hair that allows you to change your hair color at will, and you could also use it to store massive amounts of data covertly. This gives you one dose for yourself and schematics to build more."
100 CP,Power Suppression Collar,Deadpool,"Ah, the old ""make 'em powerless"" trick. This Power Suppression Collar is just like the ones they used in The Ice Box to shut down mutant powers. You slap this bad boy on any superhuman or mutant, and BAM—no more powers. It’s like an ""off"" switch for heroes. You can use it to keep those pesky goody-two-shoes under control, or just laugh as they struggle to take it off. It’s not coming off easy, trust me."
100 CP,Perception Filter Key,Doctor Who,"A key from the TARDIS, this tiny little things has been modified to extend a Perception Filter all around the wearer. A perception filter is a field that, as the name suggests, filters you from people’s perceptions. Unless someone is deliberately looking for you, or you do something to attract attention, you find that people simply don’t care about you all that much. Their eyes pass right over you, dismissing you as part of the scenery. Could be useful, this."
100 CP,Global,Earth Final Conflict,"A global comm, think a futuristic/alien cell phone, with a pull out screen for internet and video calls. Also includes a camera, GPS and a basic scanner. Reaches anywhere in the world, can’t be hacked
or traced, never runs out of power."
100 CP,Pip-Boy 3000,Fallout 3,"A wrist mounted computer that can monitor its user's vitals, along with storing a large amount of information, record video and audio, automatically mapping out local terrain, an alarm function, a geiger counter, and can connect to other terminals. It can even play the radio."
100 CP,Neuralyzer​,MIB,"A device about the size of a cigar tube that emits a flash of light that erases the memories of the past minutes, hours, days, months, or years, depending on the chosen settings."
100 CP,Psi Scanner,Red Dwarf,"An auspex that lets the user analyse their surroundings and objects. This machine provides data
about them. May be unreliable at times and require rebooting."
100 CP,Invisibility Belt,Rick and Morty ,"A belt that turns you invisible by pushing the belt-buckle. Yeah, that’s it."
100 CP,Impression Amplifier,Something Unlimited,"You acquire a simple amplifier that can cause just enough of a chemical reaction in the brains of women (or men or even both if you prefer) to give you a bit of an edge, essentially causing them to see you in a slightly better light and to be slightly more attracted to you than they normally would. By
default, this amplifier will be attached to a mundane accessory like a watch, but it can be easily removed and implanted in any outfit you have."
100 CP,Octopus Arms,Spider- Man - The Animated Series,"This metal backpack has four tentacles with graspers attached. A metal circlet will allow you to control them as naturally as if they were your own arms, using nothing but your thoughts. With these, you could perform dangerous experiments at a safe distance, or, hypothetically, go on a crime spree with your four super strong and dangerous new limbs."
100 CP,Neural Suppressing Collar,Star Wars - Darth Bane,"Neural suppressing collars are rather self-explanatory devices. They prohibit higher cognitive functions. Unfortunately they struggle with the ineffable quality of will and often fail on subjects with near inhuman levels of it. They’re all but useless on powerful Force sensitives who can ‘power’ through the cognitive field and then disable the collar. This one is considerable more powerful. In fact, it also disables one’s psychic powers. Be they a Force user, a Psyker or a Psion user, it matters not a dot when this collar is placed around their necks. Only you may take this item off of someone, leaving them otherwise permanently powerless."
100 CP,Subspace Tracking Beacons,Stargate Atlantis,"Eight subspace beacons no bigger than a child’s hand, and available in many types from barbed ones for implanting into Runners to general sensors that react to the presence of specific types of targets. Comes with one person-portable modular scanner to track them. Has a ridiculously impressive range of tens of thousands of light years, but is susceptible to interference (and fibrillators)."
100 CP,VR Stasis Pod,Stargate Atlantis,"Puts a body into suspended animation while the mind is active in a real-time VR simulation. From the
inside, the VR can be indistinguishable from reality, provided those inside don't remember going in or
try to tax the system too badly. Comes with a free selection of preset virtual environments plus
instructions for more."
100 CP,Grappling Hook,The Mandolorian,A staple for bounty hunters and people that need to climb things a small gun that shoots a bolt or bulb connected to a long cord that stick to or wrap around anything they hit allowing the holder to scale a wall or drag a target to themselves
100 CP,Plasma Cutter,"Warhammer 40k - Adeptus Mechanicus","Easily used by hand or mechadendrite, this humble piece of archaeotech excels at the simple task it
was designed for - cutting and welding metals of almost any type and thickness, from thin wiring to
adamantium plating. It can be used as a deadly weapon in an emergency, but is awkward and
unsuited to such a role. It never seems to run out of fuel."
100 CP,Camo Cloak ,Warhammer 40k - Guardsmen Jump,"The Camo Cloak, also known as Cameleoline Cloak, is a cloak that is coated with a refractive
chemical substance that morphically blends its colouration into the surrounding area to hide its
wearer both from normal vision and thermal scans. The cameleoline is often woven into cloaks and
smocks, or more rarely utilized, as a coating over armour plate (you can use this item to upgrade
your armour to have all these functions). Its properties aid concealment during covert operations.
Unlike the standard variant used by various forces in the Imperium, this cloak provides a limited
radiation resistance and exceptional insulation against electrical attacks, halving their strength. This
CP backed cloak has mesh underlay that provides better protection to its wearer than a Flak Armour."
100 CP,Mimic Beacon,XCOM - Enemy Unknown,"Essentially a small speaker programmed with the same auditory cues aliens have been using in the field. Can be used to lure the invaders to an area, but is unlikely to work twice in a fight, or on aliens already engaged in combat. In future Jumps this becomes a similar lure to a chosen enemy type."
100 CP,Privacy Field Generator,Imperium Nihilus ,"The right to privacy is a right that Inquisitors violate all the time in their quest to track and bring down whatever threatens the sanctity and stability of the Imperium. But even they know that privacy has its time and place in the galaxy. Taken from the reliquary of an executed crime lord, this disc-shaped device—small enough to fit in your hand—can, at the push of a button, generate a dome of shimmering blue light with a ten-foot radius. Anything within cannot be seen nor be eavesdropped upon through purely material means, including devices such as vox- thieves or micro-beads. But it does not offer any protection beyond making it harder for your foes to see you."
100 CP,High-Tech Restraints,The One,"A set of restraints with a digital lock, such as those used by the MVA. They’re made of tough stuff, designed to restrain even people with super strength without suffering any damage. Only people with the correct authorization are capable of opening these locks, as they are unable to be hacked."
100 CP,F-Ray,Futurama,"More powerful than an X-Ray. Looks like a torch, allows you to see inside things (even metal). Strong enough to pop balloons.
"
100 CP,Personal Smartphone,Ghosts of Mars,"A personal smartphone built for use on Mars. Can retrieve information instantly, can make purchases through it, and can make calls from anywhere on the planet. Has an optional tracking beacon on it, so that if you call for help, the police know exactly where your phone is."
100 CP,Microlistener,Batman Beyond,A small handheld device that can pick up conversations through walls or on the other side of a ballroom in perfect detail.
100 CP,Lantean Detector,Stargate Atlantis,"Detects life signs and the energy signatures of active tech (and possibly energy beings and biotech), but doesn't distinguish between human and Wraith, or even human and replicator. Also useful for finding the nearest puddle jumper or Stargate if you’ve lost your way."
100 CP,Pict Recorder ,"Warhammer 40,000 - Mechanicus","A device which records visual and auditory input to be played back later, and is capable of projecting a hologram to do so. For all functional purposes it has endless memory.
"
100 CP,Blacksun Filter ,Warhammer 40k - Freelancer,"Night vision goggles on steroids, gives unhindered sight at any illumination level, includes high-power zoom."
100 CP,Arc Thrower ,XCOM - Enemy Unknown,"This device functions on the basic premise of neurological disruption, emitting a focused electromagnetic pulse capable of confusing and incapacitating targets within a limited range. It's very likely that some aliens will resist the disabling effects of the weapon, in which case it might be more effective to weakenthe enemy first. The Arc Thrower is also constrained by our current power supply
technology, which limits its effectiveness to two shots per deployment"
100 CP,Valet Key,Hitch Hikers Guide to the Galaxy,This is a universal valet key that opens any spaceship or vehicle and allows you to start the engines and take it for a spin.
100 CP,Hydrator ,Back to the Futre,"This wonderful machine, rather shaped and sized like a microwave, can completely dry out any foodstuff, converting it into a tiny form that keeps good indefinitely, and can rehydrate and cook it at need."
100 CP,Dynachrystals,Flash Gordon,A small crystal which when carried can save a person’s consciousness if they die. The recorded personality can then be uploaded into a Dynac computer to exist as an uploaded AI.
150 CP,Stealth Boy,Fallout 4,"This is an experimental, rechargeable Stealth Boy that utilizes the same advanced technology that causes Chinese stealth suits to work nearly indefinitely. It works for around an hour; the same amount of time as a regular Stealth Boy, but is capable of recharging over a 24 hour period so that it can be used more than once. It also no longer causes harmful side effects due to prolonged use, making it much safer to use compared to a normal Stealth Boy."
150 CP,Gyrotemporal Vault ,"Warhammer 40,000 - Space Marines ","A fist-sized artifact in which a spindle of seemingly perpetual chrono-energy spins. With the correctly applied incantations, temporal energy can be siphoned from its midnight-black surface and projected outward to alter the flow of time, empowering your allies with a burst of incredible speed.
"
200 CP,Microwave Emitter ,Batman - Dark Knight Trilogy,The Wayne Enterprises 47B1 Microwave Emitter is an experimental weapon designed to vaporise large amounts of water using focused microwaves. If you used this on a cities water supply that had been infected with some chemical you could do some real damage.
200 CP,Intangibility Belt,Batman Beyond,"An extremely technologically advanced device that will allow you to control your own molecular density at will. With this device you can pass though any non-supernatural form of matter, allowing you to walk through walls, levitate, and be completely immune to physical attacks, however the belt can only ever be activated for about thirty minutes at a time before needing an hour to recharge."
200 CP,Mother Box ,Justice League: Unlimited,"An alien computer connected to the Source capable of interfacing with a wide array of machinery, projecting holographic images, providing information about topics known to the people of New Genesis or Apokolips, and creating portals between planets vast distances apart. This device is so advanced that it could reprogram a machine on par with Brainiac, but you have to directly attach the Mother Box to whatever it is you want it to interface with in order for it to work."
200 CP,Robot Detector Machine,Loki Jump,"Please confirm to your knowledge that you are not a fully robotic being, were born an organic creature and do in fact possess what many cultures would call a soul. Not sure? Would you like to test this? This archway will scan anything passing through it, determine the nature of the being, presence of features such as a soul, and create a printout of their temporal aura. By default, this device will also proceed to melt the being from the inside out if it is a robot, but your version can switch this feature off if desired. If you wanted to weed out robotic duplicates, Life Model Decoys and other cybernetic infiltrators this might come in handy. Just be prepared to clear up the mess."
