0 CP,G-Force ,Elite: Dangerous,"Humans aren’t built for anything outside of the range of Earth’s gravity; studies have shown that zero-gravity environments can cause issues such as muscle atrophy in humans over long periods of time, and that would likely only get worse if you spend ten years inside a starship with no artificial gravity. Luckily for you, you don’t have to worry about that; your body won’t experience any adverse effects from gravity, whether it’s too weak or too strong. Of course, you can still float away in low gravity, and you can be crushed to a paste in high gravity, but you won’t have to worry about your brain deteriorating because the gravity is too high for your heart to pump blood up to it or anything like that."
0 CP,Call me Mr. Necron,Warhammer 40k - Necrons,"One thing you have to admit about the Necrons is, the names are pretty damned cool. Trazyn the Infinite, Imotekh the Stormlord... there’s a panache to them. Now you get your own Necron name, complete with epithet. You may insist everyone use it whenever they address you or refer to you in the future, and people will do so regardless of what it may exactly be. If you ever get tired of it, you can select a new name and epithet and people will start referring to you by that instead. Your name also invokes an emotion of your choice in people, such as awe or fear."
0 CP,Basic Piloting Skills,Star Wars Squadrons v1.1,"This perk grants you the necessary knowledge and skill to pilot any of the starships you have
purchased to a sufficient extent needed to participate in genuine space warfare. This perk does not make you an ace on its own, but will ensure you can at least do your part in battle."
0 CP,The Power of Love ,Back to the Future,"The power of music is with you, whether a rocking ‘80s playlist or Alan Silvestri’s masterful scoring. You can silence this at any time, and choose if only you hear it or everyone can."
100 CP,This Should Be Spectacular!,Doctor Who,"Now, any idiot can put together a plan. It takes real talent to do things with style. Maybe you’re a quietly terrifying figure of dread when you enact your plans, or perhaps you’d prefer to ham it up ridiculously, instead... and yet still be taken entirely seriously. You now have the ability to bring a sense of style, a certain dark grandeur, to all your doings regardless of how important or petty they might be. In short, this perk makes you very good at presentation and generally being seen as charismatic and impressive, just like a proper supervillain should be. It also gives you an excellent poker face, one that only extremely perceptive people who know you very well have the slightest hope of seeing past. You can of course toggle this effect any time you need to go incognito, play a role, or simply want to take some time off."
100 CP,Retention,Fallout: New Vegas,"You read blisteringly quickly and better yet you remember everything you read perfectly. Finally it seems as though things that you’ve read occur to you exactly when they would most be useful providing you with solutions to problems, handy tips and relevant facts to aid you in arguments."
100 CP,Fair Traders ,Stargate Atlantis,"You have a knack for bartering goods. You seem to haggle slightly more out of an exchange than others, and leave the other guy with the impression they got a good deal too. You can even work out fair (or unfair) deals when the goods or currencies are highly unusual – weighing the value of information against years of someone’s life, for example."
100 CP,Kindly Couple ,Superman - The Animated Series,"Raising a child isn’t for everyone. Children require constant attention, need rigorous structure, and some rambunctious kids manage to give even the best parents headaches. But you’ll get there. When it comes to children you have the patience of a saint, the discipline of a headmistress, and eyes in the back of your head (figuratively [well, maybe literally. I don’t know you]). You might not be the best parent in the world, but you’re definitely in the top one hundred."
100 CP,Administration ,Superman - The Animated Series,"You know exactly how to run a business. From speaking to the press to managing employees to attracting shareholders, you know how to do it all. Any company under your leadership is guaranteed to become an industry lead in an amazingly short amount of time. You can talk the talk and walk the walk. Furthermore, people know it. Your administrative excellence is so obvious that you’ll naturally climb the corporate ladder at a breakneck pace."
100 CP,Archaeology,"Warhammer 40k - Adeptus Mechanicus","All Explorators worth the name know how to run a dig. How to choose a site, how to mark, search and lay out a site, how to carefully sift obstructions and prevent contamination of sensitive environments. Though most of the work is performed by servitors, some tasks are too delicate even for specialized models. Every Explorators can personally perform these tasks with both speed and care, and most prefer to."
100 CP,Imperial Ecologist ,Dune,"It took Pardot Kynes (the first Imperial Planetologist of Arrakis) less than two years to analyze the environment of Dune and less than two decades to figure out not only how Melange was produced (including the entire lifecycle of the Sandworms, but how to transform the planet into a green and lush world. That’s how in tune with ecology you are. Your ability to understand planetwide ecosystems verges on the supernatural, and your knowledge of the sciences of ecology and terraforming is second to none. Wherever you go, your connection to the planetary gestalt provides you with an extreme awareness of the ins and outs of the local planetary ecosystem, including any disruption to it, and a sense of how you can repair it... or exploit the disruption for your own ends"
100 CP,"Say, you play sabacc?",Star Wars Squadrons v1.1,"Say, you play sabacc? Yes, you do in fact play sabacc. Not only do you know the rules, but you are quite good at the game. You could earn some good credits if you put this talent to work. In other settings, this will slightly improve your skill at other card games."
100 CP,Whispers in the Wind ,Imperium Nihilus ,"Inquisitors will often be tasked with rooting out all manners of cults and secret organizations. Because of this, many Inquisitors have devoted a lifetime or more to the art of investigation and detective work. It is a difficult task that requires both copious amounts of skill, experience, and no small amount of luck. And while you may not yet have the skill, you are certainly luckier than most. Whenever you stay in a locale for some time, be it in some sort of Planetary Governor’s Hive World or a rundown Forge World, information has a helpful habit of finding its way into your ears. Whether it be workplace gossip in a factory or the sordid stories of the criminal underworld, you’ll hear it all. And though many of these pieces of information can be rather exaggerated, you have a knack for figuring out which ones hold a grain of truth. It may not be much, but for an Inquisitor, it’ll be more than enough to get started."
100 CP,Everybody Was Kung Fu Fighting,The One,"It’ll be a little hard to keep up with the Jet Li’s—sorry, with Yulaw and Gabe Law— if you don’t have something like this. You’re a highly skilled martial artist, with the equivalent of 20 years of experience training in a martial art of your choice. You have the reflexes of a trained combatant, and never freeze up when under attack or under fire."
100 CP,Gourmet Chef ,Adepta Sororitas,"The sisters of the Orders Famulous provide a wide array of services to a noble house. They don't start with the political experience to offer sage advice after all. Many are taught the culinary arts, the fastest way to a man's heart is through is stomach after all. the dedication to which a sister of the Adeptus Sororitas throws herself into her occupation is intense, and even the mundane skills of homemaking are no exception. Given the right equipment and ingredients you could create a banquet fit for the Emperor himself single handed and even the food rations offered to the frontline Guardsman taste better if you prepare it."
100 CP,A Craft Of Your Own,Emperor's Children Gauntlet,"All of the Emperor’s Children have a particular path to perfection they pursue, a skill that is the focus of their semi-eternal life. You may now select any skill from swordsmanship to painting, you will gain a prodigious talent in that skill."
100 CP,Not the Sanctioned Use,Imperial Guard Jumpchain,"Did you know a lasgun can be turned into a crudebut-effective grenade? By overcharging the power pack and throwing the lasgun at someone, it can produce a blast capable of breaking open the frontal armour of a Chaos Dreadnought. You are highly skilled at figuring out similar extra uses for any equipment you own, and in heated combat are quick to come up with unorthodox but highly effective applications of anything you have at hand."
100 CP,Master Haggler,Dead Space ,"You're good. Regardless of the situation, whatever you're buying, selling, or, hell, even digging up, you always just seem to find more than anyone and everyone else would. When you're trying to buy things from someone willing to haggle, you get about more headway in your direction. When you're selling things, you get that extra little bit as about one-and-a-quarter the money the person you’re dealing with would otherwise be willing to give you. Hell, if you find a loot cache somewhere, you'll find the same amount of extra money and/or equivalent trade goods in it, so long as you're the one digging it up and opening it. This could be great if you're trying to build a base of capital for a business or some other high-risk venture."
100 CP,Scrap Hound,Dead Space ,"You build. Of course, you need parts to build, and, of course, you need materials, usually scrap metal or leftover electronic bits and bobs, to make parts. Whenever you go looking for scrap parts to use as materials, you always find more than you would otherwise, five instead of four, twenty-five instead of twenty, whatever. When you build parts from materials or scrap, you always find you need less materials, on the same order as that bonus, to put those parts together. Really, really useful if you plan to build electronically-based weapons, armor, etc, or extensively modify your own, pre-existing, equipment through similar means."
100 CP,Pay’s Not Great: But it’s something,Star Wars Sequel Trilogy V1.1,"This perk makes it easy to find work with your skillset. The work may not be glamorous, and it won’t pay for a luxurious lifestyle, but you’ll always get fair wages, and you’ll make enough to take care of ship and equipment maintenance, food and lodging for you and anyone you’re taking care of, and still have enough to a bit to save for the future. This perk ensures that you’ll still be compensated in some way, should your employer try to cheat you out of your earnings."
100 CP,War Veteran,Warhammer 40k - Grey Knights,"As a Grey Knight elevated to the rank of Justicar, you have fought on numerous battlefields across the Imperium, slaying countless traitors and banishing daemons in the Emperor’s name. Your hard-earned experience has granted you the ability to fight at full capability in a wide variety of environments, whether it be the scorching heat of a desert, the icy expanse of a frozen world, the treacherous depths of oceans, or the dense, chaotic urban landscapes of Hive cities. You have honed your skills to such an exceptional degree that no terrain can hinder your effectiveness in battle, allowing you to adapt seamlessly to any battlefield condition. Moreover, your proficiency with Force Weapons has far  urpassed that of your fellow Battle-Brothers. You wield these psychically attuned blades with devastating precision, channeling your psychic might into each strike, making you a formidable force in close combat."
100 CP,Provocation,Warhammer 40k - Grey Knights,"As a Justicar, you have developed a crucial battlefield skill—maintaining the attention and aggression of your enemies. By using a combination of tactical positioning, taunts, and sheer presence, you ensure that the enemy focuses their attacks on you, allowing your allies the freedom to maneuver and strike from advantageous positions. This invaluable ability draws enemy fire away from more vulnerable units, giving your squad the chance to deliver optimal damage and outflank their opponents. To complement this, your reflexes have been honed to an exceptional degree, allowing you to dodge or block incoming attacks with heightened speed and precision."
100 CP,Orator Affinity ,Warhammer 30k - Primarch GF,"You gain a preternatural connection to the concept of orating. You start to get a feel for “talking the talk.” Your lies get better as you tell them. As you speak with someone, you can reach a point where you two achieve an equilibrium where you start to understand each other’s meanings without having to spell it out. As you spend more time with an audience, you eventually figure out which words you need to say to sway them the way you want. This Affinity will endear you to possible romantic partners if they fit the mold of an orator."
100 CP,Erudition Affinity ,Warhammer 30k - Primarch GF,You have a preternatural connection with the concept of erudition. You assimilate knowledge like a man starving devouring nourishment. You read multiple books a day. You have perfect bibliographic memory. You can even recall the exact smidge stain beneath a letter with the page number and the exact line it appears in. You have an easier time making connections with and understanding mystical forces. This Affinity endears you to potential romantic partners who fall under the erudition mold.
100 CP,Darth Vader from the Planet Vulcan ,Back to the Future,"Whether it’s Doc scamming Libyans out of plutonium, Marty forcing his father to the dance,
or Biff foisting the Almanac on his younger self, there are a lot of skilled liars selling some whoppers here. Including you, now."
100 CP,Johnny B. Good ,Back to the Future,"You can play the guitar, and have an encyclopedic knowledge of rock songs up to 2015 and how to play them."
200 CP,Junk Rounds,Fallout: New Vegas,With a reloading bench at your hands you can make ammunition with any old tat really. Tin cans or any bits of scrap metal can be converted easily to high grade ammunition. With a power source and enough junk you’d even somehow be able to cobble together a vast amount of high quality ammo for that fancy plasma caster of yours. How? That’s a trade secret.
200 CP,Weapon Mastery,Lexx,"There are some strange weapons in this world, and plenty of them aren’t straightforward to
use. But you can use them and use them well. Whether it’s a simple knife, a fire axe, a
military assault rifle, an alien designed disintegrator weapon, or a wrist mounted grappling
hook, you can wield any personal weapon like a master who’d trained with it all their life."
200 CP,Champion ,Mass Effect - Legendary Edition.,"With your abilities, you are virtually an unstoppable juggernaut, rending foes both with bullets and biotics. This has an effect on your allies, as their morale will rise just by you entering the battlefield, and will continuously rise the more your enemies fall. They will be inspired by your acts of violence and perform much better on the battlefield, while the enemy will feel only dread at your rampage."
200 CP,Master Chef ,Red Dwarf,"You are a fantastic chef, experienced and talented. You can make a damn good meal out of almost anything. Also gives you a pretty good knowledge of different types of food etiquette in different cultures. Never get caught out again."
200 CP,Secular Skills ,Red Dwarf,"Through growing up in a society in which religion tried to stem the natural instincts of the cat people towards vanity and good looks, you learned to craft amazing clothes and outfits from the most base materials and tools, and don’t worry they all will look fantastic."
200 CP,Galactic Casanova,Rick and Morty,"Like Rick, you seem to be able to seduce whatever you want to seduce, no matter how alien. Want to make love to a planet, do it. Want to sleep with an entire planet and have them worship you as a god of love for the rest of time, go ahead. No matter what you want to seduce, once you want it you can do it effortlessly, and once you are done seducing you can fuck them so good they will come back for more, almost addicted to you. Go impregnate the Galaxy with your huge dynamite penis (optional)."
200 CP,Back Way In ,Smallville,"The League is, at least at first, a very covert kind of organization. You are skilled in infiltrating high security areas like Level 33.1 or Checkmate unseen."
200 CP,Ruthless,Smallville,The fertilizer industry isn’t for the squeamish. You can shut out any sense of empathy or guilt to do whatever it takes to succeed. This can be toggled off.
200 CP,Shrug It Off ,Stargate Atlantis,"It takes a hell of a lot more than normal to knock you out – be it tranquiliser darts, Zat shocks, Stunner blasts, or punches to the face. You are also much more resistant to pain, hardships and torture – you can keep fighting through pain that would cause another person to black out."
200 CP,Cutthroat Competition,Superman - The Animated Series,"You’re the king of corporate espionage. You’re a master at everything from stealing trade secrets to bribing security guards to sabotaging prototypes right before an expo to determine which company will get a government contract. Even better, you can always find the kind of people you can trust to carry out those deeds, because the only thing better than screwing over a rival company is screwing over a rival company without getting your hands dirty."
200 CP,Reclaimer,"Warhammer 40k - Adeptus Mechanicus","Rare is the heretek with wealth or connections enough to acquire the resources to pursue innovation without raising suspicion. Most must make do with whatever they can scavenge or build for themselves, and fortune seems to often favor them when harvesting useful components from wrecked machines. More often than not, the most delicate and valuable pieces of technology can be pulled intact from wrecks you find or create.
"
200 CP,Bounty Hunter ,Warhammer 40k - Squats,"One way for a lone Squat to make a living, I guess. You are an expert in tracking people down, using means both primitive and highly sophisticated, from the jungle to the depths of the largest hives."
200 CP,Fair Wages For Fair Work ,Warhammer 40k - Squats,"It’s a rough galaxy, and if you see someone without any guarding their back, you could take them for an easy mark. Never you though. Whether through the reputation Squats have through vengeance or your own demeanor, people always pay you a fair price for your work, and never try to skip out by killing you. Sure, they may try and kill you for other reasons, but such is life in these times."
200 CP,Programmer,Stargate Atlantis,"You're seriously competent at the art of programming, even to the extent of adapting programs to run on alien computer architecture. You could debug kernel code in your sleep (and maybe you have). If you can (or learn to) read Lantean or Wraith this includes programming in their software languages.
"
200 CP,This is a shortcut… I think,Star Wars Movie Compilation - The Skywalker Saga,"You have a subconscious awareness of your surroundings and directions as if you had a mental 3D map of your location. This awareness allows you to instantly learn the path of the route someone is taking and how to get to locations as quickly as possible.
"
200 CP,Would Move the Stars,Futurama,"You may not have the expertise but you sure are persistent. You will not give up on a task if it is
important to you and this mentality will cause you to work more efficiently as well as for longer."
200 CP,Hitchhiking for Fun and Profit ,Hitch Hikers Guide to the Galaxy,"No matter where you go in space, time, or probability, you will always, somehow, be able to convince someone to give you a ride... as long as there is anyone around to actually pick you up. You know all the best ways to get from place to place, and all the back ways too, for that matter... at least as long as you have the faintest idea where your destination is. If you know where the destination is, this will tell you the optimal, most interesting, or most discrete route to get there. If combined with Infinite Improbability, someone will always, eventually, show up to give you a ride... somehow."
200 CP,Ordo Xenos,Warhammer 40k - Grey Knights,"Through some questionable decisions by the Inquisition, you and your Grey Knight brothers have been manipulated into fighting xenos for over a century, often under the pretense that these alien species have succumbed to the influence of Chaos or possess dangerous artifacts tied to it. Whether these claims were genuine or fabricated matters little now. The fact remains that this prolonged exposure to xenos combat has made you a veteran at facing non-human enemies. This experience has sharpened your skills, allowing you to adapt your combat style to effectively deal with xenos threats. Whether you face the insectoid Tyranids, the technologically advanced T’au, or the brutal Orks, you now possess a heightened understanding of their tactics, strengths, and weaknesses. This expertise will carry over into future worlds, making you a formidable opponent against any non-human adversary, no matter how alien they may be."
