0 CP,Basic Magic ,The Legend of Zelda Series ,"Magic is a wonderful force, but everyone needs to start somewhere. You know how to channel magic at a very basic level. Perhaps you could cover the edge of your weapon, making its range longer and dealing more damage. You could also improve any racial attributes with this, such as a goron creating temporary spikes while in a ball and rolling. This is only the basic stuff, but it's more than enough to work with, if you're clever."
100 CP,Profit Making ,The Legend of Zelda Series ,"There's nothing more satisfying than the sound of clinking rupees at the end of a hard day's work, so how fortunate you are that you've got the skills to make a lot? For a skilled merchant such as yourself, you could probably sell sand to a person in the desert, all for a fairly decent price. Honestly, it would be shorter to make a list of the ways you couldn't make money."
100 CP,Evil Eyes,The Legend of Zelda Series ,"When others look into your eyes, what do they see? Apparently, something they really don't want to mess with. You have an intimidating aura surrounding you, capable of cowing the weak-willed into doing whatever you say, lest they suffer the consequences."
100 CP,Great Might ,The Legend of Zelda Series ,"Power can come in many forms, though the most popular would be through pure brute strength, something you have in spades. You are an exceedingly strong person, capable of lifting three times more than you could before, and striking with that much force would leave most dead or severely wounded."
100 CP,Stone Body,The Legend of Zelda Series ,"Few are as sturdy as a goron, and for good reason. For a race that needs to eat stones to survive, they need to be just as tough. Not only are you just as durable as stone, from your skin to bones to organs, you are also highly resistant to heat and fire. It wouldn't be too outlandish for you to take a nice relaxing bath in a pool of lava."
100 CP,Malice ,The Legend of Zelda Series ,"All monsters are imbued with a fraction of a sliver of the malice of the original Demon King, Demise. Such hatred is built into them on a fundamental level. Due to this malicious connection, you are capable of sensing nearby negative emotions, and even determining which emotions they are exactly. This can, of course, be toggled on and off at will."
100 CP,Master Ore,The Legend of Zelda Series ,"Perhaps the rarest material in the land, it is from this metal that gave birth to the Master Sword. It is very durable, it holds its edge extremely well, and is highly receptive to and even boosts enchantments that are placed on it. You will receive a stock of one metric ton of this metal, which will replenish weekly."
100 CP,Timeshift Stones,The Legend of Zelda Series ,"A unique black stone only found in the ancient Lanayru Desert, these have a unique ability to alter the flow of time. The refined stones can revert an entire area back into what it used to be hundreds of years ago. They also make for amazing power sources, and many more uses for those creative enough. You will receive twenty of these stones each week."
100 CP,Treasury,The Legend of Zelda Series ,"Rupees are quite a strange currency, being small gems rather than coins or bills. But hey, you certainly aren't going to be complaining, what with how much you've got now. You now have over a thousand rupees, more than enough to live luxuriously for a few weeks. And don't worry about running out in the long run, as they will replenish monthly. Just don't spend it all in one place, yeah?"
100 CP,Topaz Headdress ,The Legend of Zelda Series ,"A magical gem, able to be placed upon the forehead without it ever falling off. By wearing this, you will find it easier to channel and use magics of all kinds, regardless of their origins or effects. In battle, every little bit helps when the end goal is victory, regardless of the cost."
200 CP,Curse Your Name,The Legend of Zelda Series ,"It all started with a curse, with a demon condemning the spirit of the Hero and the blood of the Goddess. Though not yet to the same extent, you are quite skilled in casting curses, though the more time you have to prepare and the more energy you pump into them, the more effective and lasting your curses will be."
200 CP,Silver Tongue,The Legend of Zelda Series ,"Power is not just found in might, but in connections as well, regardless of if they’re legitimate or faked. You are a convincing liar and a masterful actor, able to convince even the ruler of a rival kingdom that you are a trusted friend with contemptuous ease, no matter your actual allegiances."
200 CP,Unfettered Might ,Out of Context Triforce Supplement,"You are incredibly powerful in terms of your raw physique, more than able to match a skilled hero in a direct, one on one fight. Your physical power is also uncapped and grows greater the more power of other sorts you gain, such that you gaining new perks enhances your physique as does you being elected president or named king. You even gain some power when you defeat foes!"
300 CP,Keen Mind,The Legend of Zelda Series ,"Power must be tempered by Wisdom, for the easy path may not be the best path. Such a lesson you have taken to heart, you mind just as fearsome as your might. You possess cunning that few could match, and are quite skilled at planning. With such skills, even heroes attempting to stop you could be made to do all the hard work for you, without them ever realizing it."
400 CP,Draconic Form ,The Legend of Zelda Series ,"Are there any creatures as powerful and majestic as the dragons? Though a number of people have shown desires to become one of these flying serpents, you are the one who has made that dream into a reality. You can, at will, take on a serpentine dragon form, imbued with an element of your choice. A dragon imbued with lightning would electrocute any who dared get close, while possessing the ability to generate thunderstorms. A dragon imbued with fire could set an entire castle ablaze with frightening ease. A dragon imbued with darkness would be able to blanket an entire city in pitch black darkness, while being able to meld into the shadows."
400 CP,Demonic Forms ,The Legend of Zelda Series ,"Who cares about appearances when results are the only thing that counts for something? You can cast off your standard form for that of a demonic beast, one of immense power and durability. Which animal this beast is depends on you, though you can combine it with any other form you possess, creating a hybrid with all of the strengths and none of the drawbacks."
400 CP,Might and Magic,The Legend of Zelda Series ,"Magic is a powerful force, and the body is willing, so why not combine the two into one? You can seamlessly mix magic into any of your fighting styles. Shooting fireballs while coating your blade is well and good, but so is utilizing telekinesis to mess with an enemy’s footing, or enhancing your own strength."
400 CP,Biggoron ,The Legend of Zelda Series ,"It is said that within each goron is the beating heart of a mountain, and now it seems like you've got the body to match. You can now grow to be thirty meters tall, with an appropriate increase to your strength and durability. Though unlike the walking mountain you appear to be, you have not lost any of your speed, still able to move and fight just as quickly as one of your smaller brethren. You can shift between your giant and normal forms at will."
400 CP,Water Dragon ,The Legend of Zelda Series ,"Long ago, the zora were once the parella, personal servants to the Water Dragon Faron, a being capable of flooding an entire forest. It seems her legacy has endured within you, as you are capable of flawlessly controlling a similar amount of water. Tendrils that attack enemies, creating whirlpools, making small pockets of air, and so much more."
400 CP,Storm Rider,The Legend of Zelda Series ,"It is not enough to ride the winds, to know that the very air itself supports you in the air? Well, if you so desire, then there is another option. You are fully capable of manipulating the winds and air around you, at about a mile radius around you. Bursts of air that propel others into the skies, extending your weapon's reach, Takingtaking away your target's access to air, and so many more things besides, should you be creative enough for it."
400 CP,Twilight Sorcery ,The Legend of Zelda Series ,"The magic of the twili has changed significantly since they were cast into the Twilight Realm. A magic which you are now a certified master of. Creating portals between long distances, transforming others into beasts or spirits, walking through walls, temporarily disguising yourself, and creating dark energy bolts to attack foes."
400 CP,Demon ,The Legend of Zelda Series ,"No longer are you simply just another monster, but a true demon. In addition to greatly increased physical prowess, your control over darkness is second to none. Manipulating the shadows, giving them the substance needed to affect the world is your bread and butter. To create tendrils of darkness, trapping foes in cocoons of shadow, creating an arena that none but you can see through, so many toys to play with for a being as dark as you. As an added bonus, you are also capable of seeing perfectly in even magical darkness, as though it were under the midday sun."
