0 CP,Star Paladin ,Fallout 3 - Updated ,"One of the highest ranking members of the Eastern Brotherhood of Steel, Star Paladin Cross has been technologically enhanced so that
she no longer needs to eat or sleep. She is, in fact, a cyborg. Beyond that, she is skilled with any laser weaponry, but prefers to use her super sledge to fight her enemies."
100 CP,Laser Rifle,Out of Context: Fallout Supplement,This high-tech weapon emits a concentrated beam of coherent light to do considerable damage. It comes with 25 microfusion cells battery packs that power the weapon and restock after 24 hours.
100 CP,Institute Rifle ,Fallout: Automatrons,"A variant of the standard AER12 laser rifle, manufactured and used primarily by the forces of the Institute. It is more damaging, more energy efficient, and more easily modified than most other laser rifles. The beam is a nice blue, further separating it from the more widespread variants."
100 CP,Laser Pistol,Fallout Series (Imaged),"Intended to replace the N99 pistol as the standard sidearm for military forces, the AEP7 laser pistol is a good choice to have at your sides. This energy weapon runs off of small energy cells in order to make a deadly light show where the finale is your enemies' death."
100 CP,Daddy’s Little Scientist,Fallout Series (Imaged),"A laboratory or workshop can be a dangerous place, especially when all the equipment is either salvaged or made from scrap. No labels either. This isn't exactly a problem for you, as you seem to know your way around even the most hazardous and haphazard labs or workshops, able to use all the crappy equipment safely as though you've been using them since you were old enough to walk."
100 CP,Boot Camp,Fallout TV Show Jump,"Unlike the vast majority of people on the surface, the Brotherhood of Steel puts its trainees through actual legitimate military training. While the effectiveness of this training may be questionable in some fields, it does make them one of the few organizations with physical fitness as an attribute. You’ve had to run miles, lift weights, and perform exercises, but the results show. You have the muscle mass and fitness to show for it, putting you at the peak of what might be considered ‘standard human.’"
100 CP,Initiate Training,Fallout TV Show Jump,"Your training began when you were young, and focussed upon the singular purpose of aiding a Brotherhood Knight in the field. You learned basic combat skills necessary, of course, but more than that you learned to identify technology, to repair your Knight’s equipment, and to tote it all around like a glorified pack mule. Were the Brotherhood looking to assign squires, you’d make the top of the list."
100 CP,Humvee,Fallout Tactics: Brotherhood of Steel Jump,"A staple of Brotherhood forces, the Hummer is a light, four-wheel drive vehicle that seats six and runs on a small nuclear engine. Unarmed but
you can always change that yourself."
200 CP,Power Armor Frame ,Out of Context: Fallout Supplement,The West Tek internalized servo system is the standard chassis for all power armor series. This suit is powered by and comes with a standard fusion core interface that restocks after 24 hours. Any combination of power armor parts can be equipped on a power armor frame and any power armor segments attached to the frame are considered weightless.
200 CP,Power Armor,Fallout Series (Imaged),"Unveiled to the world in 2067, power armor of any make and model represents the pinnacle of personal defensive technology, combining excellent protection from small arms with the ability to carry heavy weapons into combat with ease, turning anyone into a person-sized tank. While they could normally last hundreds of years without recharging, you might as well never need to worry about it. This set can be of any model you desire. The classic T-45, the iconic T-51, the advanced T-60, or the rare X-01."
200 CP,Hacker ,Fallout Series (Imaged),"Computers are wonderful things, are they not? It runs off of strict rules and consists entirely of ones and zeroes, allowing those clever enough to take advantage of its many uses and flaws. You are naturally skilled in coding and hacking, able to crack through most codes, as well as programming with fewer bugs or exploits than there should be."
