0 CP,Waste Compactor,Fallout: Automatrons,"A rugged robot designed to help at waste disposal sights, it’s still active long after its creators have perished, and has grown beyond his
programming. He’s curious, likes to collect any interesting junk he comes across, and has a love of watching romantic holotapes."
0 CP,The Mechanist,Fallout: Automatrons,"A girl with a talent for machinery and an earnest desire to help people, she was inspired by a comic she came across to don the mantle of The Mechanist, a superhero who saved others through his robotic creations. She’s very skilled when it comes to building and repairing robots, and could probably build a protectron with her eyes closed."
0 CP,Edge Runner ,Fallout: Automatrons,"A young man who underwent cybernetic enhancements, he made a life for himself as a mercenary. In addition to his skill with firearms and can greatly enhance his speed, his tolerance for cybernetics is insane, with very few of the downsides ever appearing. Though he doesn’t have a dream of his own, perhaps he could help you accomplish yours?"
0 CP,Eyebot Duraframe Subject-E ,Fallout: Automatrons,"An eyebot made by the Enclave in an experiment to make a more combat-focused model. Armed with a powerful energy weapon as well as a hacking module, he'll sound off a battle song and join you in your endeavors. And though he can't actually talk, the noises he makes are expressive enough that it doesn't really matter."
0 CP,Giddyup Buttercup,Fallout: Automatrons,"The ultimate culmination of equestrian robotics, and the best gift you could ever give to your young daughter. This robotic horse acts just like a real pony, one that’s been fully trained and docile towards any human child. They don’t have much of a use, otherwise, but at least it could act like a low-maintenance pet."
0 CP,Mr. Handy,Fallout Series (Imaged),"Developed by General Atomics International before the Great War and refined in collaboration with RobCo Industries, the Mr. Handy model is the best household helper on the market. It can whip up delicious meals, clean your home, walk the dog, cut your hair, and defend the family from home invaders. It’ll even talk with a British accent to solidify the butler aesthetic. This one in particular recognizes you as its master. Comes with a spiffy bowler hat."
0 CP,Patriotic Robot,Fallout 3 - Updated ,"A customized Mister Gutsy model, created by General Atomics for mobile attacks prior to the Great War, and scavenged from parts by
a wandering trader named Tinker Joe, you'll definitely feel safer with Sergeant RL-3 there backing you up in combat."
100 CP,Steel Terrorizer,Fallout: Automatrons,"The great advances of the Institute in the field of robotics and synthetic humans has culminated in this killing machine, a Courser of unparalleled skill. A wall of muscle and metal over six feet tall, this is a one-man army, with a mastery of weapons and murder that few could ever match. Though, it isn’t very good at mimicking emotions, and its Austrian accent makes it stand out even more."
100 CP,Iron Assassin ,Fallout: Automatrons,"A modified assaultron with a rust-red coat of paint, this misanthropic robot was programmed to be a deadly assassin. It’s a master of dozens of weapons, its movements are muffled, it houses an invisibility unit, and is always eager to go out and kill more meatbags. It must also obey all of your commands and cannot harm you, rules that it will inevitably complain about."
100 CP,Sentry Bot,Fallout Series (Imaged),"Of all the robots found in the Wasteland, the Sentry Bot is one of the most feared. Armored in thick steel and equipped with a gatling laser and rocket launcher, you'd need a lot of firepower to bring it down, if you can even survive more than a few minutes with it firing at you. This one recognizes you as its master and will follow your orders to the letter. It certainly helps that this one has infinite ammo."
100 CP,Interface ,Fallout Series (Imaged),"Terminals are machines. You are a machine. Ergo, there is some overlap between the two of you, enough for a connection to form. You are capable of interfacing and interacting directly with any technology you run into, needing only a touch before you can start bending cyberspace to your whims."
100 CP,Eyebot,Fallout: Automatrons,"A hovering ball that looks more like a radio than a robot, many think that the eyebots are only good for target practice. While they may not be the most durable or devastating bots around, they're still faster and more maneuverable than most, and can play some snazzy tunes whenever you like."
100 CP,Protectron,Fallout: Automatrons,"The sturdy protectron model of robot was created before the Great War, and served as a security automaton in both the private and business sectors. Though many may make fun of them for their slow speed and low maneuverability, many forget that there's a reason a protectron could be found in nearly every place of business."
100 CP,Mr Handy,Fallout: Automatrons,"Designed in a joint venture between General Atomics and RobCo, these metallic butlers were as widespread as they were loyal to their owners. They also come equipped with a buzzsaw, flamer, and a pincer on its arms."
100 CP,Securitron,Fallout: Automatrons,"Created by RobCo Industries, these robots were created primarily to supplement police forces, though they can only be found in the Mojave area. They are surprisingly agile with their single wheel, and their screen is capable of displaying a wide array of images, from static images to pre-War commercials. Still, they are big and bulky, as well as boasting an impressive amount of firepower."
100 CP,Assaultron ,Fallout: Automatrons,"The Assaultron was constructed by RobCo Industries and sold to the United States military as a frontline wartime combatant as early as 2072, and did very well, as it is fast and deadly at close range and employs a devastating laser at a distance, with some units even employing stealth technology. They are quick, nimble and customizable, with a variety of weaponry such as lasers and razor-sharp claws."
100 CP,Sentry Bot,Fallout: Automatrons,"One of the most dangerous robots found in the Wasteland, there's a reason why so many dread going against the sentry bot. They're big, durable, and have a hell of a lot of firepower to throw around. Unfortunately, their large size makes it difficult to get into certain areas, or make use of stealth in general,"
