0 CP,Old World Radio ,Fallout: Automatrons,"Just because there are long, empty stretches of Wasteland doesn't mean that it has to be silent, too. From any radio you can access this radio station, which plays music primarily from the 1930's to the 1950's. This is managed by a radio host, who is Three Dog by default, and they will comment on your actions, broadcast local news, and do a number of helpful ""Public Service Announcements"" for your current setting."
0 CP,Traveling Merchant ,Fallout Series (Imaged),"When you find yourself running low on supplies, whether that be medicine or ammo, they will appear like a knight in shining armor. This merchant, who is Moira Brown by default, comes by with a brahman cart filled with seemingly everything you need, and what they don't have they can locate for when you next meet. They can repair any of your gear and take unwanted possessions off your hands. They'll even show up in future worlds, with the appropriate wares. Of course, you'll still need to pay for their services. Can't exactly run a charity, you know."
0 CP,Man’s Best Friend ,Fallout Series (Imaged),"Even if you lack any human friends, at least you'll have man's best friend by your side. This dog of any breed is friendly, well trained, and is extremely loyal to you. But it's also deadly to any enemies you may have, as they can bite through hardened leather and can survive taking a full clip from an assault rifle. They can be any breed of dog you want. They can even be a mutant dog or cyberhound."
0 CP,Irradiated Beauty,Fallout Series (Imaged),"Beauty is a very rare thing in this ruined, bleak world. So you should consider yourself lucky, as you could be beyond the equal of any Old World movie star. In addition to your natural beauty, any scars you end up getting are sure to be aesthetically pleasing."
0 CP,Crazy Lover,Fallout 3 - Updated ,"A slave from Paradise Falls, Clover is as deadly with a blade as she is crazy. Crazy in a fight, crazy in the sack, crazy every which way but
loose! But most of all, she's crazy in love with whoever's holding her leash. As her new owner, she would devote her everything to you, even at the cost of her own life."
100 CP,The Storyteller,Fallout Series (Imaged),"Across the Wasteland, there are tales of an armored figure with a love of history and traveling with a special Eyebot. This Storyteller has come to befriend you and relishes the chance to visit future worlds. He always seems to know the local history to a great degree, even in future worlds, and is always willing to give you a history lesson."
100 CP,Thief,Fallout Series (Imaged),"So many people, so many pockets, so many shinies. Whether you figured it out on its own or was taught it, you are quite the skilled pickpocket. Whether it's a sack of caps or a sidearm, you're confident you can take it so long as you're sneaky enough."
100 CP,Friend of the Night,Fallout Series (Imaged),"Many look at the night in fear of what it could be hiding underneath its blanket of shadows, but not you. You have perfect night vision, able to see in the darkest environments as if they were decently lit. This also protects you against sudden changes in light, so no need to worry about any flash bangs!"
100 CP,Cap Collector,Fallout Series (Imaged),"There was once an Old World expression. Money makes the world go around. While you aren't exactly sure if that's truly the case, money certainly does make things easier. You seem to gain more currency than you otherwise would have, be it in a trade deal or in someone's
locked safe."
100 CP,Scrapper,Fallout Series (Imaged),"There’s not a lot of new things being manufactured nowadays, so it's up to people like you to fix that as best you can. You can quickly and easily strip and tear apart practically anything into their base components. Doesn't matter if it's a sentry bot from a military base or a ramshackle shack out in the middle of nowhere, you are sure to find something valuable. Now it's just a matter of finding a use for them."
