100 CP,Wolf Queen ,TES: Undead,"A scion of the Septim bloodline, cursed by the soul of a fel beast since birth, Potema grew to be an exceptionally powerful necromancer. Such was her talents that she threatened the Empire itself with her undead army, only stopping once she was slain. Now she follows you, either out of loyalty or lust for the power your journey will grant her."
100 CP,Daedric Merchant,TES: Magic,"Even a Daedra has to make a living, somehow, and this one has chosen the path of the merchant. He can be summoned through a simple and easy spell, and can both sell and purchase items. His wares are often rare and valuable, and often seem to possess a massive amount of whatever the local currency is. His stock and wallet replenish after three days, often with different items, even those of different worlds you've visited."
100 CP,Rebellious Knight ,TES: Daedra,"The bastard daughter of a noble in High Rock, this Nord warrior has taken up the mantle of a knight, fighting for the people. Wielding a cursed blade given to her by her god, she has struck down numerous corrupt and evil officials, she has inspired hope in countless souls. Now, if only she didn’t carry herself like a thug..."
100 CP,Favored Daughter ,TES: Daedra,"The pride and joy of Malacath, his very own daughter has agreed to be your Companion. Strong of spirit and strong of heart, her cheerful and friendly demeanor contrasts well with her father's bitterness. But she is still the child of Malacath, and is well versed in the warrior ways, close in power to the strongest of the dovah."
100 CP,Black Cat ,TES: Daedra,"A noblewoman turned rogue, this Redguard has turned her talents of subterfuge into an art, primarily to help her friend who was wrongfully accused by the law. Skill, she’s fast, smart, and skilled, a deadly combination if ever there was one. She has even developed a spell that transforms her into a cat."
100 CP,Court Jester,TES: Daedra,"Once a respected healer, this Nord has long since joined Sheogorath's realm due to a toxic romance. But now she has a new target for her affections. You. A skilled acrobat and deadly with her massive warhammer, she'll smash anything that would get in the way of you two being together."
100 CP,Daedric Servant,The Elder Scrolls Series,"Despite the dangers involved with summoning one, Daedra are useful allies to have at your side. This Daedra, whose race you can choose, is loyal to you and only you. You can summon them whenever you want with no magicka cost, and if killed then simply wait a day before summoning them again. Can stay a free summon or become a Companion at your discretion."
100 CP,Pink Mage,TES: Magic,"This short Breton girl is a prideful and powerful mage. Though an accident with Alteration permanently left her hair a bright pink, she has an impressive wealth of magical and academic knowledge, and her skill with Destruction is something to behold, outclassing many masters. She strives to become the greatest mage in history, and is stubborn and skilled enough to see it through."
100 CP,Mage Apprentice,The Elder Scrolls: Oblivion,"As a fresh student accepted into the Arcane University they don’t have any other prospects lined up if their education goes badly. Mostly they busy themselves with attending lectures, strolling around campus, and doing their best to study up on the arcane arts. Currently they know a decent bit about Destruction magic, have some weak summon spells, and through errors in casting those spells have come to understand the value of their singular strong self-healing spell. What they have in intelligence they lack in force of personality. This student seems hesitant to speak much at all, even if they are excellent at following instructions. Perhaps they view you as a respected professor and are afraid to embarrass themselves?"
100 CP,Ice Queen,TES: Dovah,"An Altmer who studied at the College of Winterhold, she is a magewhose skill in magic is matched only by her arrogance. Her focus on ice magic allows her to generate massive amounts of ice to control the battlefield, or just freeze her opponents solid. Still, she desperately craves a place to belong, and friends who will stand by her side."
200 CP,Mental Bond ,TES: Magic,"One thing that is often forgotten about the School of Conjuration, is that telepathy can be used on more than just summons. By performing a short and easy ritual, you can permanently mark anyone you desire and create a telepathic link with them. This link cannot be broken in willfully, and you can even communicate with them from entirely separate dimensions."
100 CP,Vampire Princess,TES: Undead,"Sealed within an ancient tomb in the frozen peaks of Skyrim, Serana is an interesting case. Quick-witted and sarcastic, she is a Daughter of Coldharbour, one of the few Pure-blooded Vampires, and trained in both Alchemy and Necromancy, though her skill in Destruction is nothing to scoff at."
