100 CP,Alchemical Ingredients ,Elder Scrolls Skyrim SB Jump,"Sometimes it can just be such a pain to go searching for a specific flower, or monster’s organ in some remote part of Skyrim. Well now that’s no longer the case! You’ve got a satchel or backpack of some sort that’s just loaded with high quality ingredients useful for potion making or other magical pursuits. While you won’t find anything incredible in it this will make sure you never run out of the basic materials you need."
100 CP,Alchemy Station,TES: Magic,"You can't very well practice alchemy if you don't have the correct tools. Thankfully, this purchase is exactly what you need to truly bring out the best of the craft. This master crafted set of mortar and pestle, calcinator, alembic, and retort allow you to make more alchemical substances at a higher quality than you otherwise would have. Alchemical ingredients sold separately."
100 CP,Elementalist,TES: Magic,"Few schools can match the flashiness of the School of Destruction, nor can many resist the temptation to destroy your enemies in an elemental fashion. Choose one of the three classical elements, Fire, Frost, or Shock. Spells that utilize your chosen element will be twice as devastating, all while costing half the magicka cost they otherwise would have."
100 CP,Healer ,TES: Magic,"The art of Restoration is a perfectly valid School of Magic, and don’t let anyone tell you otherwise. Though seen as not as broad or cool as the other Schools, being able to heal wounds is an undeniably useful skill to have, no matter who you are. For you, healing spells are twice as powerful, all while costing half as much magicka."
100 CP,Life Extension,TES: Magic,"It is not unheard of for certain mages to live well beyond their race's standard life expectancy, simply look at Divayth Fyr for one such example. Now you are one of those ambitious few, having cast off the shackles of aging. You are now effectively immortal, though it would be more accurate to say that you can live indefinitely."
100 CP,Magical Beauty ,TES: Magic,"There is such beauty to be found out there, in this massive world of ours. And through the use of magic, you too can be just as beautiful. Few would be able to deny your attractiveness, and any scars you may unfortunately end up getting are sure to be aesthetically pleasing. Honestly, it's as though your features were sculpted from magic itself."
100 CP,Mystic Tuning Gloves,TES: Magic,"An enchanted set of gloves used by many mages for numerous reasons, mostly to easily handle unstable and volatile magical artifacts. You, however, have found another use for them, being able to more efficiently use your magic, reducing the cost of all magic if only slightly."
100 CP,Pink Mage,TES: Magic,"This short Breton girl is a prideful and powerful mage. Though an accident with Alteration permanently left her hair a bright pink, she has an impressive wealth of magical and academic knowledge, and her skill with Destruction is something to behold, outclassing many masters. She strives to become the greatest mage in history, and is stubborn and skilled enough to see it through."
100 CP,Scrying Orb ,TES: Magic,"To see events happening great distances away is a valuable ability, which makes this crystal orb a valuable tool. With it, you can look anywhere you’ve been before, no matter where you currently are, as well as listen in on conversations. It can be blocked or be fed false information with sufficient magical protections."
100 CP,Staff Creator,TES: Magic,"Staves are extremely useful tools for mages, able to hold charges of spells, and even be used to focus and empower a user’s spells. But if you want to create your own staves, then this is the option for you. A specialized workstation, this will allow you to create and customize your own magical staves."
