0 CP,Burial Urn ,TES: Undead,"What you now possess is a small urn with your name on it, only around the size of the average horse skull. Inside will always be a few gold coins, a gem or two, as well as the ashes of a dead person. These will restock when you place the lid back on."
100 CP,Ancient Nord Set ,TES: Undead,"You were entombed with your armor in death, and now it will protect you in unlife. You are now in possession of a high-quality set of ancient nordic armor and weapons, as well as daily replenishing arrows, each just as effective as the day they were forged."
100 CP,Black Soul Gems ,TES: Undead,"During your studies of necromancy, you have discovered that there were few items as useful in the dark arts than black soul gems. These are the only type of soul gems that can handle the souls of the mortal races. How lucky you are, then, that you are now in possession of twenty replenishing black soul gems, each filled and replenishing after a week."
100 CP,Life Return Ritual,TES: Undead,"Well then, it seems as though you have taken a page out of Falion’s journal, quite literally I might add. You are now in possession of a small book containing various rituals meant to return the various types of Undead back into their original mortal selves. This can also be used to affect undead creatures in any future worlds you may decide to visit. Not many who embraced undeath may be so willing to undergo such a ritual, though."
100 CP,Ancient Coins,TES: Undead,"Did you really expect that septims were the only currency found within Tamriel? No, many cultures before the Third Empire utilized coins as currency, and you now have proof of that. One hundred coins from some ancient or far off civilization, they're more valuable as collectors items then anything, but at least they'll replenish each week."
100 CP,Bone Hawk,TES: Undead,"These predatory birds are actually a type of undead creature, and can typically be found as pets or familiars to various undead. Yours is bonded to you, obeying your commands and allowing you to see through its eyes and ears. This bird especially loves it when given red meat, even though they don’t need to eat."
100 CP,Death Hound,TES: Undead,"Death Hounds are used as guardians by vampires. How they came to be is unknown, but their bite is as cold as the grave. This one in particular is exceptionally trained, and will obey your orders to the best of its abilities. Be sure to give it plenty of belly rubs, yeah?"
100 CP,Vampire Princess,TES: Undead,"Sealed within an ancient tomb in the frozen peaks of Skyrim, Serana is an interesting case. Quick-witted and sarcastic, she is a Daughter of Coldharbour, one of the few Pure-blooded Vampires, and trained in both Alchemy and Necromancy, though her skill in Destruction is nothing to scoff at."
100 CP,Skeletal Dragon,TES: Undead,"There are few creatures as mighty as the Dragons, and that strength permeates their very bones. Literally, as they are considered more durable as refined ebony. So I’m certain you can find some uses for this animated dragon skeleton, which is skill capable of flight, somehow, and can only use the shouts Unrelenting Force, Fire Breath, and Frost Breathe."
100 CP,Monstrous Gargoyle ,The Elder Scrolls Series,"Gargoyles are a race of living statues that have been animated by a wizard or vampire, often found guarding dungeons, castles, and ancient ruins. As expected, this powerful Gargoyle is extremely loyal to you, has skin as tough as stone, claws that can easily rend flesh, and is immune to poison and paralysis effects."
