0 CP,Basic Gear ,Imperium of Man,"It’s a dangerous galaxy out there, and you can’t exactly go out there without anything. Though it may not be much, you now own a pair of clothes, Imperial Guard-grade flak armor, as well as a laspistol."
100 CP,Aquila Lander ,Warhammer 40k Imperial Navy jump 1.02,"A popular and effective vehicle, the Aquila Lander is a multi-role unit, capable of operating both in atmosphere and the void, whether in light ground attack, exploration, or battlefield transportation. It can move at a cruising speed of 2,200 kph, carries 10 people or equivalent cargo in addition to it's pilot, and bears a nose mounted autocannon."
100 CP,CQC ,Warhammer 40k Imperial Navy jump 1.02,"Combat, for an Armsman, is a brutal, close quarters affair, where you never have good sight lines, you are constantly surrounded by things that will kill you if they break, and quarter is rarely asked or offered. You are an expert in fighting under those conditions, using the environment to your advantage, and minimizing collateral damage. You even know how to use collateral damage as a weapon against your enemy, if you’re willing to take that risk."
100 CP,Dress Sword ,Warhammer 40k Imperial Navy jump 1.02,"It's not enough to slay the enemies of mankind, you must look impressive doing so. This chain cutlass is fine and well balanced, and is obviously of high quality. It also has the interesting feature that any martial feats you accomplish while wielding it, and any speeches where you brandish it, are inherently more impressive than they would otherwise be."
100 CP,Flyboy ,Warhammer 40k Imperial Navy jump 1.02,"What kind of pilot doesn’t know how to fly? You know how to operate every kind of aerial small craft operated by any Imperial faction. Your skills with these vehicles is equivalent to a professional fighter pilot specializing in that vehicle. You also know how to project that je ne sei qua that gets fighter jocks into so many bar fights and boudoirs both. Finally, you are given a certain degree of latitude in military regulations and expectations based on how valuable you are."
100 CP,Fury Interceptor,Warhammer 40k Imperial Navy jump 1.02,"Primarily serving in void combat, the Fury can also serve as a very heavy attack craft in atmospheric actions. There it is intimidatingly powerful, with a turreted twin linked long barreled lascannon, 2 long barreled lascannon banks with 5 linked lascannons each, and 12 void capable missiles. It has a crew of 4, with a pilot, copilot, forward gunner/crew chief, and tech-priest enginseer, and moves at a cruising speed of 2,500 kph. Still, for all it's impressive might, it's unlikely to do any significant damage to a warp capable void ship. Instead, Interceptors are used defensively to pick off enemy small craft and torpedoes, and offensively to suppress the enemies anti-small craft turrets to allow assault boats and bomber to make their attacks."
100 CP,Monitoring Station ,Planetary Govenor,"The distant reaches of space hold many secrets, and this system is home to an advanced Monitoring Station that is tasked with uncovering them. The station is equipped with some of the most sophisticated sensor technology in the Imperium, capable of detecting even the slightest anomalies in space-time and distant Warp-translations. However, despite its impressive capabilities, the station is woefully under-defended, relying on its secrecy and Navy squadrons to patrol the nearby area and respond to any threats to the station. The station's primary mission is to monitor the activity of nearby systems, tracking the movements of ships and celestial bodies, and detecting any signs of potential threats. Its operators work tirelessly to parse the data flowing in from the vast network of sensors, searching for any clues that could hint at enemy troop movements. The Monitoring Station is a vital part of the Imperial Navy's early warning and defence system, and its operatives are the first line of defence against any potential threats. Its location is kept secret from all but the highest-ranking officials, and even then, only on a need-to-know basis. Any attempt to interfere with its operations will be met with a swift and uncompromising response."
100 CP,Naval Shotcannon ,Warhammer 40k Imperial Navy jump 1.02,"A heavy, 2 gauge shotgun, capable of semi-auto fire or 3 round bursts. It comes with 10 full 24 round box magazine, a tripod, ear protectors, bags to be turned into sandbags, and supplies of any special shotgun ammo you have, remade in it’s size."
100 CP,Pilot,Generic Warhammer 40K: FanFiction,"Considering how many different types of ships you go through this is a useful skill. You have the skills to pilot any sort of vehicle, regardless of whether it's a walker on the ground, a fighter in the sky, or a ship designed for the depths of space. Keep in mind that larger vehicles will typically require multiple people to crew. It doesn't matter if you know how. One person can't crew a battleship designed to be manned by 10,000 on their own."
100 CP,Pilot,"Warhammer 40,000 Jump: The Imperium","Skill in flying both atmospheric craft and spaceships, does not apply to warp travel."
100 CP,The Endless Drift ,Star Wars vs Warhammer 40k,"Perhaps the most horrific fate that can befall someone on a ship is an unstoppable death. This could be due to your ship being too damaged to travel or if you lose power in the midst of a battle. You however, are not destined to die this way. You will find that should you enter conditions such as those mentioned above you will be spared. Perhaps your ship will be found by an allied patrol while drifting or your ship will be ignored by your foes in the midst of battle. As long as you have faith you will never fall to an unstoppable death and you shall have the chance to fight once more.
"
100 CP,Void Suit,Star Wars vs Warhammer 40k,"When you are inside of a spaceship there is always a chance that something terrible will occur causing you to evacuate the ship. This is an advanced void suit that is capable of allowing anyone to survive in an open vacuum indefinitely. The suit has an unlimited supply of oxygen, is temperature resistant (both hot and cold), and has thrusters should you end up floating around on your own. This suit will come with the blueprints needed to produce more and the suit will be replaced should you lose it. 
"
100 CP,Leadership,Warhammer 40K: Imperial Navy 1.02,"A Leader without any followers is just a wanderer shouting and waving his arms. Honestly, even with every armsman on board, the officers of a ship would not be able to maintain control if the overwhelming majority of the crew weren’t willing to at least passively accept their authority. Many pirate ships started out as proud navy vessels before an unwise commander drove a large enough segment of the crew into open revolt. Given the lot of many common voidfarers, it may seem amazing that they would accept their lot, but people’s capacity for acceptance is profound if they’ve never known anything better. Still, bovine acceptance can never produce excellence, and a crack crew requires a strong degree of personal investment. even from the lowest members. You have the qualities of a great leader, not just a passable one. You know how to instill an Esprit de Corps, and give people something to look to beyond themselves. When you respect people, even in a backhanded way, (“they may be base-born scum, but man can they fight”) it comes across, and you know just how to build upon that as well."
1000 CP,Ramiles Class Star Fort,Warhammer 40k Imperial Navy jump 1.02," A Ramiles class Star Fort is a potent tool of Imperial might. 4 spokes each provide a docking port for a ship of up to Cruiser size. Between the spokes there are 4 quadrants, each has powerful Macrobroadsides and Lance batteries, as well as Torpedo Tubes and a Landing Bay for small craft. These potent stations are not only used by the Navy, but also by Astartes chapters like the Space Wolves and Ultramarines, and even as a Watch Fortress by the Deathwatch. Some stations, like yours for example have the facilities to construct some void ship components. Most impressive however, is that these vehicles which lack realspace drives are yet capable of warp travel. The potent  generators of a Ramiles can generate a Warp bubble and a Gellar Field, after which it can be towed through the Warp to a new deployment point."
200 CP,Any Port in a Storm,Warhammer 40k Imperial Navy jump 1.02,"When a Warp Storm hits, or your Gellar Field is failing, it can be imperative to get back to Materium as soon as possible. However, that isn’t always possible, especially in times or areas of major disturbance. Warp Storms can impinge on the Materium, making them little safer, or you could re-enter the Materium in an asteroid belt, or inside a planet. Also, if at all possible, you don’t want to drop back in the dark space between stars, far from any hope or help, or even a rock to be shipwrecked on if your ship breaks. But the Emperor Protects! Whenever you are in the midst of an issue and need an immediate emergency refuge you will see a small ball of golden light. You don’t have to respond, but if you choose to follow it, it will lead you to a refuge. This refuge is guaranteed to either have a breathable atmosphere, or a way you could provide a breathable atmosphere, and not to be immediately lethal. More than that, there is a good chance that there are resources in the vicinity that you might be able to use, if you can find them and make them usable."
