0 CP,Fine Amasec and Spirits,Planetary Goveror,"A collection of the rarest and most expensive alcoholic beverages from across the galaxy. These delicacies are sure to impress even the most discerning of connoisseurs, and are the perfect accompaniment to a lavish dinner or social event. Restocks itself monthly."
0 CP,Morgaine Rousseau,Planetary Governor,"A courtesan from the planet of Lascivia, exudes an air of sensuality and confidence. Her raven black hair cascades in waves down her back, and her bright green eyes sparkle with an almost ethereal glow. She wears an elegant gown of deep purple, which clings to her curves in all the right places, and her neck is adorned with a choker of sparkling diamonds. With a sultry voice and a flirtatious smile, Morgaine knows how to capture the attention of any client. She moves with a fluid grace, as if dancing to some secret rhythm that only she can hear. Her every movement is precise and deliberate, from the way she lowers herself onto a plush velvet couch to the way she sips a glass of rare Amasec. Paired with her stunning appearance and charm, Morgaine has a sharp wit and keen intellect. She is not just a pretty face, but a master of seduction, conversation, and politics. With years of training under the tutelage of the finest courtesans on Lascivia, she knows how to use her gifts to manipulate those around her and get what she wants. Underneath her cool exterior, however, Morgaine carries a deep pain. She fled a life of poverty and abuse on her home planet to become a courtesan, but the memories of her past still haunt her. Despite her success, she feels a nagging sense of guilt for using her body and her mind to please others, and she often wonders if she is truly happy or just trapped in a gilded cage."
0 CP,Honored Title,Talons of the Empire,"When a Custodes has finished being created and trained, they are given a name from Terran myth. Gods, heroes, monster slayers- this is done both tomark them as they hero they are, and to allow the nobility of Terra, from whom the Custodes are created, save face. As they fight and win battles in the Emperor’s name, impressive deeds are rewarded with impressive names. Old and storied Custodes can have dozens and dozens of names. You may select a single name to address yourself by, and anytime you do something impressive you will receive another fitting title."
0 CP,Plastic Figures,Imperium of Man,"You have received a sizable black box, one that is filled with all manner of strange, plastic figurines. They seem to depict a vast majority of the Imperium’s fighting forces, including ones resembling the Primarchs. They are fully painted, and any that are broken or destroyed will be restored within the day."
100 CP,Eye of an Emperor,Generic Warhammer 40K: FanFiction,"When you are powerful enough you have to realize even the smallest action you take could have a profound impact on those under you. With this perk you have the ability to see the bigger picture. You can consider how implementing a policy would work out or how developing a manufacturing process would affect your forces. You are now hopefully better equipped to effectively run a galaxy spanning empire.
"
100 CP,Pallas Grav-Attack ,Talons of the Emperor,"Using the same anti-gravity technology as the Coronus, these fulfill the role of lightning fast tank hunters. They are most useful for reconnaissance, skirmishing, and hit and run tactics in part due to its powerful machine spirit. Nonetheless these agile skimmers are capable of stand up fights thanks to its auramite armor and flare shields. Its primary armament is a twin-linked Arachnus blaze cannon, though some are mounted with adrathic devastators instead. You may choose which of these armaments is mounted on your grav-attack for free."
100 CP,Venerable Land Raider ,Talons of the Emperor,"These battle tanks cum transports are some of the most versatile vehicles deployed by the Imperium, and the Venerable masterworks deployed by the Talons are the most potent of them. Molded from auramite and adamantine, these hyper resilient vehicles possess machine spirits of incredible potency, which are fully capable of controlling both the auto-repair protocols and imparting incredible accuracy to the weapon systems of the land raider. There exists more than one account of a venerable land raider’s bold and aggressive machine spirit wreaking bloody vengeance upon foes that have slain its crew. The land raider posses significant armaments: a twin heavy bolter, two twin lascannons, a mounted storm bolter, a hunter killer missile, and smoke launchers. There are few foes capable of enduring this fury, and fewer still capable of damaging its heavy armor."
100 CP,Coronus Grav-Carrier ,Talons of the Emperor,"These swift anti-grav skimmers are the one of the most favored forms of transport among the custodes. They are armed with hull mounted heliothermic twin-linked bolt cannons, turret mounted twin-linked Arachnus blaze cannons, and searchlights, all guided by a powerful machine spirit make sure these vehicles are capable of laying down heavy fire support for their passengers. Their anti-grav units are powerful enough to suppress charging infantry, and in conjunction with its auramite hull and flareshield they are very difficult to put down. But these are all secondary considerations compared to its use as a transport. These machines are blindingly swift, allowing Custodes to out flank their enemies with ease and to avoid counter attacks solong as this enduring vehicle still operates."
100 CP,Auric Aquilas ,Talons of the Emperor,"The Auric Aquilas is a dawneagle jetbike of exquisite craftsmanship, but that is not what truly sets it apart. Its use of forbidden archeotech is. It is swift as thought and protected by an immensely powerful golden force field. Its rider enjoys the sort of protection that would cause most tank crews to feel envy, especially when coupled with its incredible mobility."
100 CP,Gyrfalcon Jetbike,Talons of the Emperor,"The gyrfalcon pattern jetbike is one of the few models preferred by the Custodians, and it’s little wonder why. These plasma motor boosted bikes are a far hardier breed than the classes typically fielded by the Astartes, as they need to be in order to bear the Emperor’s own into battle. Large enough to be compared to a grav speeder, these swift auramite steeds mount refractor fields, and either a bolt cannon, adrathic devestator, or a twin linked las-pulser. In addition, you will be granted a lance with this jet bike, that you may strike down your enemies more personally. It will be a free melee weapon with whatever amenities you purchase from the table, or you may give it the same purchases as a melee weapon you have already used the table upon. "
100 CP,Auramite ,Talons of the Emperor,"Auramite is the golden material that the God Emperor himself uses in his personal projects. His ships, his armor, his weapons- and that of the Custodes as well. It requires rare materials to produce and is ruinously expensive- but Auramite’s incredible resilience makes the cost more than worth it. Resistant to nearly every type of energy and impact you care to name, this material has myriad uses. You will receive shipments equal to any project you care to use it for. Simply order it, and within a day it will appear, either in your warehouse or at a location of your choosing."
100 CP,Exotic Pets,Planetary Goveror,"This collection of rare and exotic animals is sure to impress even the most jaded of nobles. From the majestic hunting beasts of distant worlds to the colourful and playful avian companions, these creatures are sure to draw admiration and envy from all who see them. The menagerie is expertly maintained by a team of skilled caretakers, who ensure that each animal receives the best care and attention. Whether you are looking for a companion on your travels or a symbol of your status and wealth, these exotic pets are sure to be a prized possession for any noble."
100 CP,Fine Art Collection,Planetary Goveror,"Your collection of rare and valuable art pieces is the envy of many, showcasing your refined taste and appreciation for beauty. The pieces are carefully curated and displayed in your personal chambers, serving as a source of inspiration and relaxation. Each piece tells a story and adds to the overall ambiance of your surroundings. Your fine art collection is not only a testament to your wealth and status, but also a reflection of your personality and character."
100 CP,Patron of the Arts,Plantetary Governor,"Your passion for culture and the arts has led you to become a prominent supporter of artists, musicians, and other creative individuals. Your patronage has allowed these talented individuals to flourish and produce some of the most exquisite works of art, music, and literature. As a result of your patronage, you have built a vast network of talented artists, musicians, and writers who owe you their success. These individuals are fiercely loyal to you and are always willing to lend their talents to your cause. They may create custom works of art or music for you, or use their connections and skills to help you achieve your goals. Your name is synonymous with beauty, creativity, and the avant-garde, and you are frequently sought after for your opinion and support in matters of art and culture."
100 CP,Astute Administrator ,Planetary Govenor,"You possess an exceptional talent for managing resources, finances, and people. Your analytical and strategic mind makes you a natural leader and decision-maker, capable of navigating complex political and economic landscapes with ease. You have an innate sense of when and where to invest resources, and how to maximise your return on investment. This skill is invaluable for managing fiefdoms, businesses, and other ventures, as you are able to carefully balance the books and ensure that every penny is spent wisely. Moreover, you have an impeccable sense of timing and risk assessment. You know when to hold and when to fold, when to expand and when to contract, and how to minimise losses while maximising gains. Your abilities are not just limited to finance and resource management. You can also manage and motivate people, whether they be employees, soldiers, or other subordinates, with your keen insight into human psychology and behaviour. You know how to delegate tasks effectively, inspire loyalty and cooperation, and resolve conflicts in a way that benefits all parties involved."
100 CP,Dataslate,Imperium of Man,"An electronic digital storage device that can be found all across the Imperium of Man, this one is quite special when compared to its common kin. Not only can it store an unlimited amount of data and automatically store it in a way that’s pleasing for you, but it can interface with any technology you may run across."
100 CP,Pure Blood,Imperium of Man,"Your line has its origins stretching back since before the Imperium formed, the purity of your blood undeniable. Not only is your body cured of all imperfections, both physical and mental, as well as gaining a resistance to all illnesses and viruses, but those who share in your blood will receive similar benefits, being perfect examples of humanity."
100 CP,Look at its little legs and oversized body,Warhammer 40K -- Emperor Text to Speech - Gauntlet,"You have a suit of Centurion Power Armour, suitable for dangerous assault work where even Terminator armour isn't enough. Not only is it heavily armed and armoured, the Emperor thinks you're adorable and will give far more consideration to any suggestions you make if you wear this and sit on his knee."
200 CP,Parenting Skills,Generic Warhammer 40K: FanFiction,"Managing an empire often can seem like raising a child. It requires an immense amount of work, sometimes seems like it's not worth it, and will often cause long sleepless nights. In the end though you would happily do it again when you see the result and take in those special moments. This skill both makes you a parent fit to be rewarded with a best dad or mom in the universe mug, and to help children/young organizations who are in need of guidance. Lastly please take this, we don’t need a second case of the Emperor to occur. One galaxy level set of family issues was enough to deal with. Also if you can give perks please give this to the Emperor, it will save a lot of trouble."
200 CP,Custodes,Generic Warhammer 40K: FanFiction,"You join the ranks of the Custodians. The Custodes is an elite cadre of genetically-engineered transhuman warriors who are even more potent in combat than the Adeptus Astartes. They are to the Space Marines as the Emperor is to His primarchs, and it is rumoured that they were each created by the Master of Mankind personally. They are the equivalent to walking armies unless challenged by an equal"
200 CP,Training Facilities ,Talons of the Emperor,"The Emperor’s Talons are very well trained. In war and in peace, as assassins, diplomats and investigators. They are famously disciplined, deadly, and wise. Achieving this level of education and skill is no small challenge, especially on the scale necessary to match the Emperor’s aims. And so He created tools for them to achieve such highs. Hallucinariums, great labyrinths that can show impossible and terrible vistas, that they may practice against any foe in any condition imaginable are among the most simple of these. Hypno-indoctrination, to directly implant skills in a targets mind, fractal thought exercises, strategic cogitators and far, far more. This is everything you need to make the elitist of the elite of the elite soldiers and scholars by the standards of the Imperium at its height. It can also make those subjected to the curriculum absolutely loyal to any person or cause you’d care to name. You may also add or subtract from its curriculum if there’s something particular you’d like to teach."
200 CP,God-Strike Teleportarium ,Talons of the Emperor,"The Imperium’s teleportation technology is highly advanced, rare, and often unreliable. But the Godstrike Pattern used by the Talons is an even more advanced teleportarium, with few equals within the Imperium. With incredible range and reliability, these vast machines can instantly transport even super heavy vehicles in perfect safety. You may place your teleportarium upon a property, place, or ship of your choice."
200 CP,Ares Gunship ,Talons of the Emperor,"While the Custodes primary duty is the protection of the Emperor, they have marched beside Him into battle, and carried out wars in His name when He turned His gaze elsewhere. The Ares Gunship is one of the first such tools of war they used, and they earned a deadly reputation in both the Unification Wars and the early years of the Great Crusade. They have identical mobility and defensive measures as the Orion Dropship, but their weaponry is superior in exchange for a lack of room for passengers. It has two Arachnus heavy blaze cannons, two infernus firebomb clusters, and a nose mounted Arachnus magna-blaze cannon. The latter is the weapon this gunship was designed around, and the creation of a single example of this incredibly powerful and massive cannon can beggar a noble family of Terra. It is fully capable of punching through even titans, and annihilating infantry and lesser vehicles en mass."
200 CP,Caladius Grav-Tank/Annihilator,Talons of the Emperor,"The Caladius grav-tank is the mainline battle tank of the Talons, and uses the same anti-grav technology of the Coronus. Dedicating the space that normally would contain Custodes in the transport to weapons systems, the Caladius has the heaviest punch among all the vehicles of its size. Covered in heavy auramite plating, a flare shield, and possessing the same rate of machine spirit as its brothers in design, this grav-tank is incredibly swift and heavily armored. It’s armed with a hull mounted twin-linked heliothermic bolt cannon and a turret that contains either twin-linked Iliastus Accelerator canons or, more rarely, twin-linked Arachnus heavy blaze cannons. In the latter case it is called a Caladius-Annihilator."
