0 CP,Grog ,Warhammer 40k: Squats,"A strong ale brewed from the nutrient-rich algae that is a Squat staple. Technically a couple mugs could substitute for food, but it’s got a kick you probably won’t enjoy on an empty stomach. Each purchase grants one keg that refills nightly."
0 CP,Ratling Rations,Imperial Guard - Jumpchain,"You’re a dab hand in the kitchen. You have the potential to be an excellent chef if you applied yourself, and more importantly, you can turn the general unappetising rations issued to Imperial Guardsmen into something distinctly edible."
100 CP,Artificer Helm,Warhammer 40k: Squats,"A very tough helmet, sloped to deflect fire and blows. But the real treasure is predictive software for incoming fire, making it easier to spot gaps and a person much, much harder to pin down with fire. Plus night vision."
100 CP,Big ‘Un,Imperial Guard - Jumpchain,"A friendly Ogryn likes you enough to hang around. He (or she) is a fairly typical Ogryn; large, strong, incredibly stupid, and claustrophobic. You have earned their undying loyalty, and as an Ogryn this manifests as a willingness to dive into the fire to keep you safe – with natural Ogryn resilience, they’re quite capable of shrugging off wounds that could kill a man several times over. They will follow any and all orders you give them (believing your orders originate with the Emperor himself) and are very eager to please their friend, but their limited intelligence should be remembered when giving one. Though on the bright side, they’re also too stupid to realise what a bad idea barrelling straight at a gigantic Tyranid is and will do just that when your life is in danger, unless it happens to involve entering a confined space. They come with carapace armour, a great big power maul, and a brute shield. This may be taken multiple times, if you feel the need to be protected by several Ogryn at once"
100 CP,Communicator,Warhammer 40k: Squats,A handheld communications device that can transmit to any Squat/Imperial system within range and cannot be jammed.
100 CP,Devoted Navigator,"Warhammer 40,000 - Space Marines v1.0","A strain of abhumans that has been sanctioned by the Imperium due to their sheer necessity, Navigators are responsible for guiding human ships through the Warp via the use of their specialized third eye, which grants them many Warp-related powers the uneducated might assume to be those of a psyker. They are one of the Imperium's most important assets... and now you have a loyal Navigator of your own. Your Navigator is adventurous, and deeply desires to see more of the Galaxy with their own eyes, and may even hazard a trip out of the ship to visit wherever you are as long as it isn't a Death World or an environment utterly inhospitable to mostly-human life.
"
100 CP,"Durkin Thanaguard, Captain of the Guard",Warhammer 40k: Squats,"Leader of Thurgrim Ironheart’s Hearthguard retinue. A cunning fighter skilled in ambush tactics and deep striking. Comes with his own followers, his Hearthguard squad,"
100 CP,Eye patch,Warhammer 40k Imperial Navy jump 1.02,"While you may or may not enjoy reveling in the fear, awe, and disgust of those around you, it can occasionally be quite convenient to fit it. This eye patch can be adjusted to fit over you're 3rd eye. When worn, it becomes invisible, and disguises any mutations or other out of place characteristics."
100 CP,"Festus, Master of the Forge",Warhammer 40k: Squats,"Guildmaster, inventor and a bit of a mad scientist, renowned among all craftsmen. Creator of the phoenix bolt, artificer helm and his personal weapon, the Arc-gun. An electric weapon that can chain-hit through many nearby targets."
100 CP,"Gullrum Grimm, the Forgotten Slayer",Warhammer 40k: Squats,"The 40K version of Gotrek. Whatever Gullrum’s original crime, it has been long since washed away and forgotten by his many glorious deeds seeking a righteous death. He has trained his body to near super-Squat levels, and fights with a fearlessness and bloodlust inspiring to young Slayers and Berserkers alike, wielding the twin power-axes Heart-Ripper and Soul-Crusher."
100 CP,Horned Mother ,Imperium of Man,"It is rare to see beastmen within the forces of the Imperium, but that doesn’t mean they don’t exist. This abhuman resembles a white goat more than anything, and is a naturally caring soul. You can expect her to raise the spirits of all that interact with her, though she does save her special pies for her special child; you."
100 CP,Lightning Maul,Warhammer 40k: Squats,"Really, it’s a Thunderhammer, but from an age when only Squats had them. Really, it’d be rude not to use their name. But seriously, it’s a Thunderhammer."
100 CP,Little ‘Un ,Imperial Guard - Jumpchain,"Ratling wants to come along with you. Good cook, like all Ratlings, but more importantly this one is part of the secret Ratling black market network. If you can pay their (exorbitant) prices, you can find nearly anything on the black market, all thanks to a generous system of bribery and occasional theft. This may be taken multiple times, if you wish to create a small organised crime “family”."
100 CP,Mechanical Basics,Warhammer 40k: Squats,"You know how to maintain and repair most common equipment of the day. And with that comes a decent knowledge of chemistry, physics and computer science. It’s the future after all, things are complex."
