0 CP,Throne Gelt,Warhammer 40k Imperial Navy jump 1.02,"100,000 Thrones. 40k does indeed have money, but it is not standardized. There are forms of currency that are cast by individual segmenta, by individual sectors and subsectors, that are printed by various merchant guilds, and that are put out by different planets, or even different hives on the same planet. With this you get 100,000 Thrones worth of money in whatever currency or combination of currencies you choose, based on the value of those coins or bills when you acquire them."
100 CP,Sister Elyse,Planetary Governor,"A member of the Orders Famulous of the Adeptus Sororitas. She is a tall and imposing figure, with a stern countenance and a no-nonsense demeanour. Her ivory hair is pulled back tightly into a bun, with not a single strand out of place. She wears the traditional robes of the Order, which are adorned only by a fleur-de-lis embroidered on her chest. Despite her intimidating appearance, however, Sister Elyse has a gentle soul and a kind heart. She has spent much of her life working with children, and is a highly skilled educator who takes great pride in her work. Her voice is warm and reassuring, and she has a way of putting even the most nervous child at ease. Sister Elyse is deeply committed to her faith, and sees it as her mission to instil those same values in the children under her care. She is a firm believer in discipline and hard work, and expects nothing but the best from her students. At the same time, she is a compassionate and understanding mentor, always ready with a word of encouragement or a listening ear. Despite her status as a member of the Adeptus Sororitas, Sister Elyse is not a warrior by nature. Her strength lies in her ability to inspire and guide others, and to help them unlock their full potential. She is a true servant of the Emperor, and a shining example of what it means to be a member of the Orders Famulous."
100 CP,Spoils of Conquest,Generic Warhammer 40K: FanFiction,This individual is someone that you took as a prize after one of your battles. Maybe they were a powerful warrior that garnered your interest or someone that simply didn’t look away from you when you gazed at them. Either way you had a passing interest and decided to take them with you. Now they serve some sort of role for you. If they were a warrior then they probably submitted and now fight for you. If they were royalty maybe you made them your servant out of amusement. The options are all up to you otherwise then it will be random. Regardless they will never betray you and you may customize them within realistic limits.
100 CP,Pet ,Generic Warhammer 40K: FanFiction,"Given that you’re going to spend a long time alone in the void it will help to have a friend. So take this so that you have some company. This is a young animal of the 40K verse. It could be a pup from Fenris. It could be a Salamander from Nocturne. Maybe you want one of the many nightmarish creatures from Catachan. Regardless of which you pick, this small animal will provide you some company while traveling."
100 CP,Manager,Generic Warhammer 40K: FanFiction,"One of the main requirements of being a successful trader. You need contacts and friends to go to in order to sell your wares. Now you could try winging it literally every time, but eventually your luck may run out. Now to help out with keeping this web of contacts flowing you’ve acquired a delightful manager or secretary. First this is someone you can trust with your money, no need to worry about them running off with it. Second it seems they were born with a calculator in one hand and the other already extended in friendship. You may customize their personality andappearance if you wish."
100 CP,The Old Hand ,Generic Warhammer 40K: FanFiction,While you do need to be able to run things on your own there’s nothing wrong with a helping hand. In this case you’ve got an old hand at the game willing to help you. This individual has plenty of experience and is willing to share it with you if they haven't already. This may be the individual who would have taught you originally and acted as your mentor if you desire.
100 CP,Apprentice ,Generic Warhammer 40K: FanFiction,"While most of the work is done by the crafters themselves, often it helps to have an apprentice. In this case you receive an apprentice that is talented enough to be worth teaching and determined to learn from you. If you are a builder then they are talented in one of the fields you know. If you are a champion"
100 CP,Personality of a Protagonist ,Generic Warhammer 40K: FanFiction,"You are suited for handling difficult situations that would leave others broken. Whether the loss of your friends, witnessing a great tragedy, or simply dealing with complex emotions that have piled up you can handle these situations in stride."
100 CP,The Deep Dark ,Generic Warhammer 40K: FanFiction,"You are going to spend many days, if not years staring into the void with no one to keep you company. Such a job could drive even the greatest of men insane if they had nothing to do. However, your mind works differently. You don't seem to care about the voyages. I would even go as far to say that you find the nothingness of the void to be peaceful. You don't suffer from the isolation of space travel nor boredom of the mindless journeys"
100 CP,Charming Face ,Generic Warhammer 40K: FanFiction,"Seems that people can’t help, but feel at ease around you. This perk gives a noticeable boost to your charisma. At the very least you could always become the life of the party. Your main advantage however, is making people more relaxed. This makes them more comfortable when negotiating and more willing to spend a bit more than they otherwise would have been comfortable with."
100 CP,Contraband,Warhammer 40k Imperial Navy jump 1.02,"Smuggling is rife within the Imperium of Man. Perhaps one of the many reasons for this may be that some of the smugglers are on the navy ships intended to prevent smuggling. This 1 foot square box expands to a crate 2 meters on a side, and is full of proscribed goods. These might be illegal drugs, or minor xenos artifacts, or texts that the mechanicus or the ecclesiarchy or someone else deem unsuitable for the public, or some other goods that it is illegal for the majority to possess. And it is in fact quite illegal. Execution would probably be on the light end of punishments, and authorities in the Imperium are quite creative when it comes to punishment. However, to the right customer, their value is worth the risk. How you deal with these is up to you, but please do be careful."
100 CP,A Waste World,Planetary Governor,"This is a planet that has been almost completely stripped of all natural resources and is usually inhospitable to most forms of life. Waste Worlds are often the result of excessive mining or industrial activity, or the aftermath of a catastrophic war or disaster. The landscape is barren and scarred, with little to no vegetation or water. Toxic chemicals and heavy metals may leach into the ground and atmosphere, making the planet uninhabitable without specialised equipment or bioengineering. The few surviving life forms on a Waste World may be adapted to the harsh conditions, such as scavengers or mutant creatures. Despite their seemingly hopeless condition, Waste Worlds are often of great interest to the various factions and powers of the Warhammer 40,000 universe. The rare resources that remain on these planets may be vital to the production of weapons, starships, or other critical technologies. In addition, the inhospitable conditions of a Waste World can make them a useful hiding place for those seeking to evade detection or persecution."
100 CP,Lyra,Planetary Governor,"Lyra’s sharp features are framed by a mass of unruly auburn hair that falls in waves around her shoulders. Her piercing green eyes seem to take in everything at once, constantly scanning her surroundings for potential threats or opportunities. Her skin is tanned from years spent under the harsh sun, and a scattering of freckles across her nose and cheeks gives her a youthful appearance that belies her streetwise demeanour. Despite her lean build, Lyra's muscles are toned and well-defined from a lifetime of running, climbing, and fighting. She moves with the fluidity of a cat, her lithe frame able to contort itself into all sorts of positions. Her quick reflexes and nimble fingers make her a natural at sleight of hand and pickpocketing, and she takes great pride in her ability to relieve others of their valuables without being detected. Lyra's clothes are a patchwork of rags and stolen garments, cobbled together from whatever she can scavenge. Despite their shabby appearance, her garments are designed for maximum mobility and flexibility, allowing her to move with ease through the crowded streets of the city. A small leather pouch at her waist contains her ill-gotten gains, along with a few tools of her trade - a set of lockpicks, a length of wire, and a few other odds and ends that she uses to gain entry to locked doors or to disable alarms. Although she may seem tough and streetwise on the surface, Lyra has a vulnerable side as well. Her life on the streets has left her with few friends and even fewer allies, and she has learned to be fiercely independent and self-reliant. She is wary of strangers and quick to defend herself if she feels threatened, but deep down she longs for a sense of connection and belonging that has always eluded her."
