0 CP,Silent Sisterhood Training,Talons of the Emperor,"The Silent Sisterhood are put through harsh regimens of training, indoctrination and chemical therapy. The end result is some of the finest ‘normal’ human soldiers in the Imperium. They are taught to fight with several weapons and with their bodies, and are given some the most complete educations on the warp and that which wields it inside the Imperium. They are taught to track psykers to fulfill their duties as the mistresses of the black ships, whether they seek refuge in the wilderness or within crowded cities, and to move without being seen."
0 CP,Flame,Talons of the Emperor,"Mastery of fire was the first step on humanity’s road to ascension. It was a way to push back the dark, to keep one safe and fed. It allowed them to forge weapons, and eventually, seize control of their world and their destiny. Even now, tens of thousands of years later, man still reaches to flame to protect themselves. Much like the Emperor’s own sword, your weapon can light itself aflame. Its searing heat makes light and leaves grizzly and agonizing wounds upon those you strike."
0 CP,Power Armour,Talons of the Emperor,"The armor designed for the Emperor’s finest is made to enhance their already considerable natural abilities even further. Sensor arrays which grant a HUD as well as additional ways to detect your surroundings, a respirator, communications equipment, temperature regulation, lenses to help one see well outside the visible spectrum of light and prevent the harmful effects of abrupt light changes, fiber bundles to vastly increase their user’s strength... and let’s not forget the defensive armor plating it’s coated in. Few weapons will be able to present a serious threat to someone wearing a suit of power armor."
0 CP,Jump Pack,Talons of the Emperor,"Jump packs are lightweight harnesses fitted with rocket thrusters to enable flight. The Talons’ jump packs are modeled after the Raptora Imperialis, taking the shape of a great pair of wings. Capable of being manipulated independently, they allow for spectacular speed and mobility and can be used as shields."
0 CP,Purity Seal Kit,"Warhammer 40,000 - Adeptus Sororitas","A small, ornately designed Require filled with ink, quill, wax, sanctified seal and paper with which to write litanies that are affixed to weapons and armour. One's written and applied by a Sororitas are especially coveted, though they all confer some protection against the forces of chaos."
0 CP,Chain Sword,"Warhammer 40,000 - Adeptus Sororitas","Chain swords are roughly sword-like in shape as the name suggests, with a large flat housing containing the chain. Generally only the forward curved section is open, and is thrust at the enemy where the spinning chain teeth can bite into flesh and bone."
0 CP,Basic Training ,Star Wars vs Warhammer 40K Jumpchain,"All novice sisters of the Adeptus Sororitas, regardless of their Order, are taught a wide variety of basic skills, some needed by all, others needed in a pinch. Each sister knows basic ranged weapon operation, ground vehicle usage, hand to hand and melee combat, medicae, how to craft purity seals among a few other skills."
100 CP,Fanatic Discipline ,Talons of the Emperor,"The Silent Sisters are more than blanks. Even those who fulfill more clerical duties than combat actions are hardened through incredibly strict training regimens which leave them all but immune to the horrors of this galaxy. Pain means nothing to the Sisters; so great is their discipline that they do not cry aloud when injured. So hard is their will that they will not break before the charge of transhuman warriors, despite the natural dread they bring with them. Fear, pain, doubt; they should be beneath the Sisters, and they are certainly beneath you. Your cold ferocity is found eerie by your enemies, and your will to do what must be done no matter the price insures your attacks are more lethal than they otherwise would be."
100 CP,Feral Grace ,Talons of the Emperor,"The Sisters are known for many things. Chief among them is their quiet, their aura of wrongness, and their potency against the empyrean. But these are far from the only things they’re known for. The first of these one is likely to notice is their swiftness, their economy of motion, their sheer, bestial grace. You move in swiftly, dancing away from your enemies’ strikes. You easily slip in between ally and enemy alike, making it easier to mob larger foes beside your allies. Getting inside their comfortable reach then harassing them and robbing their strikes of power even as you drive your own home- these are your forte."
100 CP,Defilade ,Talons of the Emperor,"The Sisters are not the transhuman juggernauts that their fellow talons are. Charging through hails of bolter fire is occasionally necessary, but is far from their preferred tactic, for who would relish letting their sisters in arms die? After all, despite their power over the immaterium, despite their training, their bodies are only human. While it is not the most glorious part of their work, the Sisters know how to present a hard target, particularly when operating with the other half of the Emperor’s Talons. You have a nearly preternatural sense for incoming fire, and will find yourself diving for cover where others would be blown apart. This is particularly useful when fighting beside those in heavier armor than yourself. You find yourself working in tandem, their heavier plates interposing themselves just in the nick of time to deflect shots which would have claimed your life. While being careless will render this useless, a little caution and team work will ensure enemy fire is nearly harmless to you while your larger, more durable allies are yet functional."
