0 CP,Call me Mr. Necron,"Warhammer 40,000: Necrons","One thing you have to admit about the Necrons is, the names are pretty damned cool. Trazyn the Infinite, Imotekh the Stormlord... there’s a panache to them. Now you get your own Necron name, complete with epithet. You may insist everyone use it whenever they address you or refer to you in the future, and people will do so regardless of what it may exactly be. If you ever get tired of it, you can select a new name and epithet and people will start referring to you by that instead. Your name also invokes an emotion of your choice in people, such as awe or fear."
100 CP,Loyal Lychguard,"Warhammer 40,000 - Mechanicus","This is a Lychguard who has been assigned specifically to protect you. They are absolutely loyal and faithful... in part because the capacity for disloyalty was something deliberately abandoned when they underwent biotransference. They have otherwise retained almost all of their mind despite the Great Sleep, and are an excellent combatant. Despite wielding weapon and shield in combat, they are most proficient at unarmed fighting, and were among the greatest of martial artists among the Necrontyr. Since inhabiting their necrodermis chassis, the power behind their blows has only grown even stronger."
100 CP,Dimensional Sanctum ,"Warhammer 40,000 - Mechanicus","This device is keyed to a small pocket reality, and allows the user to retreat into it to heal, enhance themselves, or simply hide until danger has passed. Or whatever other use you may have for your own personal bubble of reality."
100 CP,Omnilingual Broadcast,"Warhammer 40,000 - Mechanicus","The Necrons have long ago mastered all branches of study beyond the conception of the races of the modern age. Linguistics was just another topic to conquer. You are able to speak in a fashion that is understood in all languages, and are equally capable of understanding whatever languages you hear."
100 CP,Power of Lip​,"Warhammer 40,000: Necrons","Orikan the Diviner is famous for two things; his unmatched knowledge of astrology and his tendency to be an insufferable genius to any Necrons who acquire his services. Alas, his skills at prognostication are enough to make the varied Overlords and Phaerons tolerate the constant insubordination they must put up with. You now enjoy the same benefits. So long as you prove your worth, you will be allowed to get away with behavior that wouldn’t be tolerated by anyone else."
100 CP,Martial Skill​ ,"Warhammer 40,000: Necrons","In this galaxy, it is commonly expected for an army’s commander to join their forces on the front lines, personally engaging their foes in combat. And it would be obscene for a Nemesor to be outdone in this matter by the lesser races. Your skill in both long-ranged and hand-to-hand combat is on par with the champions of the other armies, able to duel Chapter Masters on an even footing even as your legions clash with the enemy."
200 CP,Ghost Ark,"Warhammer 40,000 - Mechanicus","A troop transport of the Necrons, this anti-gravity vehicle is even capable of flight through the void, and is used as a boarding craft. It can carry up to 10 Necron infantry, and allows them to fire freely, in addition to the two Gauss Flayer arrays, making it a highly mobile method of bombarding enemies. It is also equipped with repair stations, allowing it to repair the wounded and more swiftly carry out the Reanimation Protocols."
200 CP,Dispersion Shield,"Warhammer 40,000 - Mechanicus","It looks like a physical shield, but it doubles as an energy barrier capable of repelling most attacks."
200 CP,Canoptek Scarabs,"Warhammer 40,000 - Mechanicus","By far the most common and versatile Scarabs, about the size of a human head, they are not only used in construction but as weapons of war. They are able to break down matter into raw energy, and later convert this energy back into a different form of matter; this allows them to deconstruct enemies and fortifications, and then use that energy to build weapons and vehicles, or even more Canoptek Scarabs. You receive 20 such Scarabs (five swarms of four),"
200 CP,Synaptic Disintegrator,"Warhammer 40,000 - Mechanicus","A sniper rifle used by Deathmarks, this weapon is notable for firing a compressed leptonic beam that destroys the synaptic tissue in the brain upon contact anywhere on the body."
200 CP,Primordial Schematics​ ,"Warhammer 40,000: Necrons","The human world of Cadia was able to stymie the advance of Chaos largely due to the efforts of Necron technology. The mysterious pylons of Cadia acted to reinforce the materium even on the verge of the Eye of Terror. During the Thirteenth Black Crusade, the Archmagos Belisarius Cawl was even able to use them to shrink the largest Warp Storm in the galaxy. The designs behind this priceless technology are now within your possession. Outside of this setting, pylons designed according to the specifications of these schematics will disrupt interdimensional portals and incursions with some fine-tuning."
200 CP,Divination of the Stars​,"Warhammer 40,000: Necrons","The primitive astrologers of the mortal races have claimed to be able to predict the future through the composition of the celestial sphere for thousands of years. Unlike them, you actually can. Though this is by no means foolproof, dedicated study of the stars allows you to predict the future reliably. Do note that the more specific the prediction, the more unreliable it will be. “Which world will the enemy force attack?” has a much greater chance of success than “Which specific spot will each specific general attack?”."
300 CP,Catacomb Command Barge,"Warhammer 40,000 - Mechanicus","A simple vehicle armed with a single Tesla Cannon, it is nonetheless of vital importance to the Necron army as it is the personal conveyance of Necron Lords and Overlords. A light anti-gravitational skimmer, it is equipped with carrier-wave generators allowing an Overlord to instantly deliver commands to any nearby troops, letting them directly control their underlings in a way that the nodal command structure of the Necrons would normally make difficult. It is piloted by a pair of Necrons hard-wired into the vehicle; yours, however, will lack personality and individuality, being “NPCs” that exist for no other purpose than to pilot the Command Barge."
300 CP,Necron Death Mask,"Warhammer 40,000 - Mechanicus","A mask that allows you to perceive the unseen, seeing through everything from illusions to invisibility to camouflage to mundane attempts at hiding to seeing through attempts to cloud your vision."
300 CP,Mindshackle Scarabs,"Warhammer 40,000 - Mechanicus","A specialized, smaller form of the Scarab designed to control the lesser species, it buries into the victim’s minds to bypass cerebral functions, effectively turning them into a puppet under your control. You have enough Mindshackle Scarabs to control a group of 10."
300 CP,Rod of Covenant,"Warhammer 40,000 - Mechanicus","Resembling a fancy spear, it is capable of releasing a blast of eldritch energy from its tip that can melt even a Necron in a single blast, and reduce an organic being to nothing but ash. It also generates an energy field that allows it to be used in melee similar to a Power Weapon. A favored weapon of Triarch Praetorians."
300 CP,Tesla Carbine,"Warhammer 40,000 - Mechanicus","The only infantry-sized Tesla Weapon, this large gun fires arcs of living lightning that leaps to other foes from the target, searing flesh and melting armor. The tesla bolts feed off of the energies released in destruction, so every consecutive attack becomes even more dangerous."
300 CP,Solar Staff,"Warhammer 40,000 - Mechanicus","It burns with the light of truth, and in its presence all falsities are driven away. Set loose, it will blaze with light as though a new sun was born, driving away darkness and blinding whoever was unfortunate enough to be looking that way... or even be looking at anything at all while nearby. Less aggressively, people in the presence of the Solar Staff are incapable of lying. It functions via the use of the Solar Pulse technology."
