0,Perk Name,Cost,Source,Description
1,Transmutative Rise,300 CP,Original,"You gain the ability to transmute matter through touch. Target a volume of up to one liter and one kilogram in weight that you can physically separate from its surroundings. After several minutes of focus, the targeted matter glows briefly and transmutes, increasing the atomic number of each element within by exactly one.

The time required scales with the atomic number of the elements involved. Turning iron (26) into cobalt (27), for example, takes approximately twenty minutes of concentration. The transmutation produces stable isotopes whenever possible, though there may be logical, unexpected, or even dangerous consequences, albeit somewhat softened from what physics would normally dictate."
2,Escalating Harm,300 CP,Original,"Once you land an initial strike on an opponent, your subsequent attacks against the same target grow increasingly devastating. Each successive blow deals twice the damage of the previous one. For example, if your first hit causes a minor abrasion, the second strike will be twice as severe, and the third strike will be four times as severe as the first.

This escalation resets if you switch targets and rapidly decays, if you pause between attacks for too long. The ability only functions if your first attack deals meaningful damage. It doesn't work if your first attack didn't deal enough damage and can the effect can be interrupted by other exotic effects."
3,Metaphorical Flames,400 CP,Original,"You can use metaphorical sources of flame inside and around you to fuel your magic. For example, you can draw upon your own flaming rage or fires of will to produce mystical effects. Doing so will make these inner fires burn brighter for a time, but they will also turn to cold ash more quickly. This means that if you use something like rage or willpower as fuel, they will temporarily intensify, only to burn out afterward - leaving behind disinterest, apathy, or similar emotional numbness. You will need to restore them before they can be used again. As such, it is often wiser to use something like the potential flames trapped inside gunpowder on your person as fuel, even if such sources may be less effective or nearly impossible to utilize for certain tasks.

Sourcing metaphorical flames requires creativity and careful thought. Some sources are easier or better suited for particular magical tasks than others, and the type of flame you use may influence the resulting magic. For instance, you cannot directly use the flames of another person's rage, but if you bait them into focusing their anger on you, it becomes easier to draw upon. Similarly, using flames of rage is well-suited for violent tasks, though the magic may take on side-effects associated with anger: effects that become much more pronounced if the task already aligns closely with the concept of rage. Not everything can serve as a source; it must be some form of metaphorical flame, or at the very least, fuel for one."
4,Fire Fiends Creation,200 CP,Original,"You can create free fire spirits or infuse items with them using living things you have burned down yourself as the source - either from their ashes or by literally dragging specks of ""inner fire"" from the corpses of your foes. These ""fiends"" need to eat fire or highly flammable materials to survive, but even then, they have limited and usually short lifespans because they age relatively quickly. They are generally aligned with you, listen to your orders, and are loyal, but tend to be mischievous and ""fiery"" in character due to their nature. They live longer when infused into objects, but their effects are less powerful in that form. Depending on exotic and unqiue properties of things you burnt to create them, friends might possess some traces of traits and characteristics of the burnt object.
"
5,Tearful Pellets,50 CP,Original,"You possess the ability to project and throw small pellets that burst into a cloud of capsaicin-derived substance, similar to tear gas but potentially stronger. You have control over the volume of gas clouds each pellet produces when you create it and the potency of substance. You are immune to the effects of the tear gas in general, allowing you to navigate through the cloud unharmed. Pellets do not persist for long - they disappear after some time, if they lose contact with you and/or not being used/destroyed."
6,Wooden Stake,150 CP,Original,"You possess the ability to rapidly grow and produce dead wood from your own body. This wood can take on various shapes such as beams, stakes, thorns, curved branches, and other pointy objects. You have the flexibility to make them hollow or alter their inner structure or surface for a little while, even making them polished. Your power does not tarnish your clothes or other thin materials around you (if you don't want it to). The wood you create is dark, dense, and exceptionally hard. It is resistant to catching fire, but if it does ignite, it burns rapidly. It is very susceptible to natural decay and rots relatively quickly over time.

You have the power to infuse existing or created wood (including alive) with your energy. For instance, you can charge a small piece of wood, throw it, and after a certain time, it will begin to transform into preprogrammed pointed shapes, resembling your own body’s abilities, until the charge is depleted. Alternatively, you can grow wood from other wooden surfaces that you come into contact with. Charged wood, under your control, can be easily broken by you and poses no harm to you."
7,Mortis Essence Accumulation,200 CP,Original,"You have a metaphorical vessel of 'mortis essence' inside your soul. You can replenish this magic by killing or witnessing death personally. You become stronger and can restore powers in places drenched in death or strongly associated with the dead, as recognized by the local population or creatures in the area.

You gain more from killing or witnessing the death of someone who resists death or being killed. You also gain more from sleeping or meditating in places associated with the dead. Different creatures, types of death, and locations influence your replenishment. You cannot accumulate too much mortis essence, as it makes you more vulnerable to death: stopping bleeding takes longer, severe wounds are more likely to cause death, you get ill more easily, etc. So, you need to find a way to get rid of the excess or figure out how to block/control automatic replenishment of the essence before it kills you. Mortis essence is strongly aligned with arts related to death and the dead, such as necromancy or burial arts, but is not limited to them."
8,Oddly Convenient Spare Parts,300 CP,Original,"When breaking down or disassembling something, you can often find spare parts inside, even if there shouldn't be any. While you cannot precisely control which spare part you will get, you can steer it slightly in the desired direction. Repeatedly disassembling and reassembling objects allows you to dupe pieces with each iteration. Although, there are diminishing returns for doing it to the exact same thing over and over again.

The terms 'disassembly' and 'something' are quite flexible - breaking rocks with a pickaxe or preparing wood also technically count as disassembling. As a result, you may find yourself with more spare parts or useful items than expected, even in these cases. Very rarely, when searching for space parts, you might discover unique, thematic items related to what you disassembled among spare parts - for example, finding a golden nugget in a piece of rock you broke down, even if it shouldn’t be there. You also have a knack for dismantling objects quickly, safely and carefully. Nothing supernatural though."
9,Just Pop It,400 CP,Original,"You can cause almost any physical object or part of it to pop, as if it were a balloon - simply by applying enough pressure or using something like a needle. Larger and more massive objects explode with greater power. After performing the 'pop' action, you have a short window of invulnerability to protect you from the explosion itself and some of the shards it produces, but nothing beyond that. You have perfect control over when this ability is active."
10,Aspect Loom,650 CP,Original,"You can unravel matter and energy into thick, colorful threads and wind them into balls that represent aspects of an object. Simply touching your target starts the process. These threads can be stored in a special pocket dimension and accessed at any time. If you haven't altered the threads, you can turn them back into the original objects. The mass, volume, and complexity of the target determine how many threads you obtain and how easy/hard it is to do, but it will always be lesser in mass and volume than the original unraveled object. 

You can split these threads into more, unraveling the nature of the object into simpler aspects. Using different threads, you can create patterns so that when they are reassembled, the resulting object will be different - made of aspects of your original target and inspired by the new shape. You are an expert in working with threads and possess an unnatural intuition for manipulating aspect threads specifically. Others can also work with these threads and even restore them into objects using the right supernatural energies or abilities, but without your unnatural intuition, it is difficult for them to find effective or useful patterns."
