0,Perk Name,Cost,Description
1,Miasma,100 CP,"Miasma is an otherworldly sword that oozes toxic gasses that, at some point of history, was locked away in the dungeons of fear and hunger. The weapon is rumored to house the strength of six men. Despite its impressive might, Miasma's most notable trait is not its power: the sword possesses sentience and can communicate with individuals by projecting a voice into their minds. Miasma employs various tactics to sway its wielders towards committing killing sprees. "
2,Cursed Blue Sin,100 CP,"A fine and light one-handed sword with faint blue carvings. On the hilt there is some writing: ""For the sinners."" It has an ability to leave a burning effect on an enemy."
3,"Blood Sword",200 CP,A sword forged from the blood of Alll-mer. Blood sword is one of the few physical weapons in the game that deals Otherworldly damage
4,Longinus,200 CP,The spear that punctured Alll-mer's side as he was chained and crucified. A faint trace of the shadow that was cast away for Alll-mer to reach his ascension. Longinus is one of the few physical weapons in the game that deals Otherworldly damage
5,Red Virtue,200 CP,A masterfully forged light sword. The sword is very light and so excels in finesse. It is said that Red virtue is one of the two swords forged for the ancient king of Ma'habre. Red virtue is one of the few physical weapons in the game that deals Otherworldly damage.
6,Sabbath,100 CP,To counter the rising threats of the witch and vampire hunts of the 1700s the Vatican city developed this otherworldly sword to be used by the penance knights as their new main weapon. Sabbath is one of the few physical weapons in the game that deals Otherworldly damage.
7,The Darkness,200 CP,A living and seeping darkness that attaches itself to whoever dares to touch it and live in symbiosis with it. 
8,Smelter Key,100 CP,A key that has seemingly melt in high temperatures. The key feels heavier than it's supposed to as if something is attached to it. A spirit protects the wearer from fire and flames.
9,Blue Noctuid Necklace,100 CP,Combining the two wings into one makes it a complete moth necklace. The necklace emanates special aura that protects from the otherworldly. Aura that only manifest when one is low on health.
10,Guardian Cameo,100 CP,A cameo carving of a beautiful woman from a bygone era. The jewel emits strange aura... It is now possessed and grants protection to those in low health.	
11,Ring of Wraiths,200 CP,A ring with a blood diamond embedded on it. The diamond has seen so much death that life force is leaking from it. The priests of Rondon have slaves digging these diamonds no matter the cost. Restores 8% Body every turn (doesn't stack).
12,Betel's Stone,200 CP,The ring of a long gone new god Betel. The has magic imbued in it that is constantly leaking from the crystal. Restores 10% Mind every turn (doesn't stack).
13,Artificial Soul,100 CP,There are rumours that Bremen experimented with creating artificial souls to power their unholy rituals. If this truly is one of those it could be used to channel otherworldly more efficiently. Reduces Mind cost of skills by 30% (stacks multiplicatively). Can be bought several times.
14,Eye of Sylvian,100 CP,Said to be an eye of the older god Sylvian herself. How it could have ended up here is a mystery. You have your doubts. It does seem to boost the recovery effect of healing items and magic... Increases effect of healing items and skills by 50% (stacks multiplicatively). Can be bought several times.
15,Leechmonger Ring,100 CP,A heft ring forged by the Hermit Mages of South who dedicated their lives to the God of the Depths Hundreds of years ago. The mages were able to infuse the ring with life draining magic. Restores Body by converting 3% of physical damage dealt to enemy (doesn't stack).
16,Salmonsnake Rune,150 CP,"An old relic from northern warrior tribes of Oldegård. The rune is said to contain a soul of a Salmon snake that gives its owner a hardened skin that prevents limb losses, burns and bleeding."
17,Ring of the Still-blood,100 CP,A ring that is said to make blood still and thus prevent bleeding. There's no way to explain this but magic.	
18,Alchemillia Tome,200 CP,"This tome contains three volumes of Alchemillia - a book for beginner, intermediate and experienced level alchemy. It lets one learn and use alchemy skills from Fear & Hunger games, even if it's shouldn't be possible to learn and use in your current world."
19,Medicinal ,100 CP,"Sacrifice harvested organs to Vitruvia, the architect of the human body. A sacrifice will cure a corresponding status ailment. Medicinal is based on the law where every action has an equal reaction. You have ability, along with enough skill and knowledge to utilise Medicinal consistently. "
20,Engrave,200 CP,"Engrave a sigil on a party member. The benefit of the sigil varies depeding on the god it belongs to. Historically sigils were carved on the body, but modern practition prefers face sigils. You have enough skill and knowledge to carve and use these sigils consistently. "
21,Ritual Circles,600 CP,"You have ability, skills and knowledge to create and use ritual circles from Fear & Hunger games. In contrast with circles available in the game, you can do a bit more with functionality of each. Be careful, these circles connect to the divine entities from its source setting and use their authorities, which may bring some unwanted attention and phenomena into your current reality. You are capable of teaching this art to other people, making the practice spread from person to person. "
22,Nosramus,300 CP,"""You can't tell if they're male or female."" Nosramus was the fifth member of the Fellowship of the current New Gods. Nosramus did not ascend like the others in the Fellowship but chose the path of enlightenment instead. They appear after their death with all knowledge and skills intact, along with some of their tools, knowing that they have accepted this second life."
23,Cube of the Depths,400 CP,The Cube of the Depths is an eldritch artifact sacred to the God of the Depths. It acts as key to enter Ma'habre within the book. It is also used as a way to travel between the past and present day Ma'habre via the devices located throughout the city of the gods.  
24,Hungry & Afraid,100 CP,"You are somewhat of an expert when it comes to dealing with hunger and fear. You don't have actual experience, but you possess many unique practical skills, useful trivia and habits to use when needed. It not only includes things like finding food or knowing how to cook and eat usually inedible things, but also strategies like psyching yourself up to eat something gross or how to use drugs to relieve stress while minimizing the chances of psychological addiction forming. You know various techniques to deal with fear and stress, and have aptitude to deal with feeling of hunger and exhaustion."
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
