0 CP,Dobby ,Harry Potter Movie Series,A male house-elf who served the Malfoy family. His masters were Dark Wizards who treated him cruelly. He would normally disobey his masters and try to warn Harry Potter of the plot to have the Chamber of Secrets reopened. Now he can become your new friend and companion or if you want you can choose another elf.
100 CP,He-Who-Must-Not-Be-Named ,The Wizarding World Jump,"A reputation is a useful and powerful thing. Just ask Lord Voldemort himself. Or maybe not. He’s not exactly the most pleasant sort and depending on when you arrive, he’ll probably be quite indisposed. But regardless, despite how unpleasant he might be, there are quite a few things you could stand to learn from him. In this case, you’ve learned how to cultivate a reputation for yourself. Your endeavors seem to take on a life of their own, spreading throughout entire communities like Fiendfyre. Even more than that, tales of your deeds become almost exaggerated, such that, depending on what exactly you’ve done, they will praise your name or shun it to an almost unnatural degree for the sheer terror and awe it reminds them of. Just make sure you can live up to it, alright?"
100 CP,"Muggles Don’t See Nothing, Do They?",The Wizarding World Jump,"Hiding your magic from Muggles can sometimes be a difficult task, especially when they can be more perceptive than you might think. But for you, and with this, keeping your magic secret won’t be that big of a problem. In your presence, Muggles always seem to rationalize or even ignore minor uses of magic. For example, floating small objects or creating a bit of fire and light will be thought of as a clever use of strings and Muggle technology such as lighters and the like. Of course, this isn’t going to be quite as effective if you try and perform greater feats of magic such as setting an entire forest ablaze with nothing more than a stick in your hands. In that case, you better have one handy-dandy explanation ready for them."
100 CP,Magical Compatibility ,The Wizarding World Jump,"Despite whatever implications such a fact may entail, humanity here is capable of breeding with just about every other being to be found and quite a few beasts as well. And if you wish, so can you. By taking this, you will now be able to produce children with any other sapient being and quite a few beasts, no matter what they are. They could be something as massive as a giant or as small as a house-elf, it doesn’t really matter. You will be able to have children with it, in this world and the next. Giants, house-elves, centaurs, veela, and so many more. As a special bonus, a boon just for you, you now have the ability to control your own fertility."
100 CP,Map ,Hogwarts Legacy,"The field guide contains an interactive map, covering all locations you have explored. It can mark significant landmarks, and expand three-dimensionally to display the interior spaces of buildings or caves or other structures."
100 CP,Portrait Gallery ,Hogwarts Legacy,"A room that houses a few dozen portraits of various famous and accomplished witches and wizards. If you have a connection to Ancient Magic, this can include a couple of portraits of Keepers from the past. These portraits will be generally helpful and friendly and very willing to provide you with insight and advice. In new worlds, a few new portraits of famous historical figures, particularly those who know or are associated with magic, will be added to this gallery.
"
100 CP,Magical Cleanliness ,The Other Harry Potter Fanfic Jump,"The wizarding world’s culture and technology resembles a hodgepodge of time periods ranging from the medieval to the victorian with a few smatterings of modernity here and there. While cleaning spells and cleaning products exist, we do see examples of them going without use. Additionally... Would you want to be stuck using only public lavatories and bathing facilities for most of a year if you had a choice? This perk ensures that every part of your body down to your very pores is always perfectly clean and expertly groomed. Additionally, you no longer need to excrete. This perk can be freely shared with all of your Companions, Followers, and so on."
100 CP,Put your best foot forward -,Harry Potter Movie Series,"You possess mastery over the art of dancing, being capable of intuitively understanding the rhythm of sound and flawlessly performing any type of danc These methods of dance can include classical dances such as ballet as well as freestyle dance types such as hip-hop."
100 CP,Nymphadora Tonks ,Harry Potter Movie Series,"You gain Nymphadora Tonks, a Hogwarts graduate who is currently an Auror under the watchful eye of Alastor Moody.
Tonks is a Metamorphmagus allowing her to alter her physical appearance at will and a descendant of the Black family despite her mother being disowned."
100 CP,What about your activities outside the classroom,Harry Potter Movie Series,You have gained a certain romantic intuition allowing you to tell when someone is attracted to you as well as how deep and sincere their emotions are. This also passively improves the quality of any dates you plan and gives you a minor luck boost during the date itself.
