0 CP,Gold Galleons,Harry Potter Movie Series,"For Free you will gain £1,000 worth of wizarding currency broken down into the following amounts:
● 4,930 Bronze Knuts
● 170 Silver Sickles
● 180 Golden Galleons"
100 CP,Galleon Pouch ,Hogwarts Legacy,A large sack full of a hundred galleons. A modest fortune by the standards of the time (keeping in mind the prices in the game are inflated by roughly a factor of 100 to 200 times what they would actually be). This sack will gain one hundred more galleons each month.
100 CP,Room Of Lost Things ,Hogwarts Legacy,"A room filled with the remnants of a great deal of broken and discarded items, ranging from furniture to decorations to chests to books. Hidden among the random junk can be potential treasures that are still valuable, simply lost. Over time, newly ‘lost’ items will appear within the room."
100 CP,"""Great Gold Coins The Size Of Hubcaps""",Hogwarts Professor Jumpchain,"Gain 500 Galleons (or same Value in the local Equivalent) on September 1st every Year.
"
100 CP,Liquid Wealth ,Wizarding World Jumpchain,"Many pure-blood families carry with them centuries of history and with such age, comes wealth borne from the passing of time. And whether pure-blood or not, you’ve gotten your hands on a substantial amount of wealth indeed. 50,000 Galleons worth to be exact. Used wisely, this should be more than enough money for you to live off comfortably for the rest of your days, even without taking into account that you have magic and that you’ll be receiving this amount of money every ten years or so."
100 CP,Goblin Manager,Generic Harry Potter Fanfiction,"This is a Goblin of the Gringotts clan, and has chosen to serve you as a loyal manager of your interests. An absolute financial genius, he is a master of both predatory and genuinely good lending, knows how to manipulate all the magical and muggle markets like the back of his hand, and has an unbelievably good eye for investment opportunities both muggle and magical. You can put him in charge of any and all money-related matters, be it balancing your personal chequebook or as the CEO of all your estates and businesses or running the Finance Ministry of your kingdom, and trust him to manage it all with superb brilliance. You won’t ever need to worry about money with this guy around. If you want he’ll also teach you and others his stuff, although getting as good as him might take a looong while, considering how he’s the Einstein, Hawking and Tesla put together of Finance."
200 CP,Gringotts Vault,Slytherin Jump,"Gringotts Wizarding Bank is the only wizarding bank in Great Britain, and is owned and operated by goblins. Many wizarding families have their own vault, and now so do you. Located within the deepest parts of the bank itself and protected by a blind dragon and several protections known only to the goblins of Gringotts, your vault contains a veritable boatload of galleons, sickles, knuts, and precious gems such as diamonds, rubies, and emeralds. You’re now wealthy enough to live in absolute luxury for several hundred years. As a free complimentary service, Gringotts also offers a currency exchange service, allowing you to to exchange your wizarding wealth for any other currency. This vault while part of the bank is also in an extra-dimensional space you can access through any door using your key"
200 CP,Pensieve ,Hogwarts Legacy,"A special enchanted device that can allow memories to be replayed in impossible detail. The basin comes with a plinth to sit on, which has a hidden storage compartment with a hundred specially prepared vials, each of which can securely hold a memory for later viewing. Also comes with an enchanted eyedropper that can allow anyone, even Muggles, to safely extract a memory for viewing.
"
200 CP,Watchful Chest,Hogwarts Legacy," A large chest with a large eye in the place of a lock, which has also been fitted with a set of wheels on the bottom, allowing it to wheel itself around. This chest is hardened against unlocking spells, and its eye has been enchanted, allowing it to see through invisibility spells. It will only open itself for you and those you explicitly tell it to allow access."
200 CP,Philosopher’s Stone ,The Other Harry Potter Fanfic Jump,"You could have made this on your own, but maybe you don’t have the patience, or you’d like a sample to reverse engineer, or you’d just prefer the security of a fiat-backed item that’ll make its way back to your warehouse if lost or stolen. Anyway, the philosopher's stone is an artifact that allows one to translate base metals into pure gold and that produces the elixir of life, a potion that restores the drinkers to their full strength and can make them immortal if consumed regularly and continuously. Supplemental materials likewise imply that it will increase your power and skill in regard to alchemy and its component disciplines. Now the prequel films seem to imply that the elixir merely slows aging rather than stopping it or restoring youth but plenty of fanfics predate that reveal and do depict it deaging you to the prime of your youth so this version does."
