 0 CP,Templar Philter,Dragon Age 1.02,A philter box containing all the tools required for ingesting lyrium. The box contains enough lyrium to supply a single templar with a day’s supply of lyrium for a single Templar. The lyrium automatically restocks itself daily.
0 CP,Combat Training ,Dragon Age: Origins by Pokebrat,"Since childhood, you’ve come to learn the ways of war, of weapons and armor clashing in glorious combat. This training will assist you in the less glorious battles to come, granting you mastery over one general fighting style of your choosing, as well as enabling you to wear any kind of armor without hindering your speed and range of movement."
100 CP,Battle-Ready Body ,Dragon Age 1.02,"Thedas is a continent full of conflict. It seems almost a certainty that you’ll find yourself in the middle of it at some point during your stay here. That’s why this perk grants you peak health and fitness, after all knowing how to fight won’t do you much good if you can’t lift a weapon to defend yourself with. You will never fall below peak health/fitness, not even if you were to live the unhealthiest life possible."
100 CP,Body of Steel,Dragon Age: Origins by Pokebrat,"In order to better survive the coming days, you will need to be as hale and hearty as possible, especially if you intend to be on the front lines. Thankfully, being weak is far from your list of worries, as your body possesses a truly admirable amount of strength, with a constitution to match. Swinging a warhammer the size of a child all day is barely straining for someone like you."
100 CP,Combat Training ,Dragon Age 1.02,"Being fit and healthy enough to lift a weapon to defend yourself with is nice and all, but no good if you don’t actually know how to use said weapon. So, you’ve gone through basic combat training with a single non-magical weapon of your choice."
100 CP,Great Vitality ,Dragon Age -Origins,"The result of a regimen of strenuous exercise, you'd be hard
pressed to find any as hale and hearty as yourself. Not only are you now extremely
resistant to disease and poison, but the amount of punishment your body can take has
seen an unbelievable increase. It would take the blow of an Ogre to leave any serious
damage on you with one hit, but a few knives to the back would work just as well to
bring you down."
100 CP,Healing Potions,Dragon Age: Origins by Pokebrat,"It is almost essential to carry a number of healing options if you intend to go travelling, given how dangerous the roads can be these days. While they may not be able to heal every ailment, you can’t deny the usefulness of being able to mend a wound in the heat of battle, given the chance to drink these concoctions. This wooden crate is filled with ten of every kind of healing potion one could find in Ferelden, and will replenish weekly."
100 CP,Rune Catalog,Dragon Age: Origins by Pokebrat,"One of the most prized pieces of equipment a warrior could have, runes are almost essential for the mighty and rich. This collection of runes can be attached to your gear in order to grant it supernatural abilities, such as a weapon bursting into flame, paralyzing those struck, and enhancing one’s natural capabilities. Not only will this collection replenish monthly, but you also receive notes on how to craft your own, should you possess the skill and aptitude for it."
100 CP,Shield of Highever,Dragon Age: Origins by Pokebrat,"This shield was carried by Teyrn Ardal Cousland, who died defending King Vanedrin from the Orlesians at the Battle of Lothering. The face still bears the scars of Orlesian blades. While it may have failed at protecting the king, it seems to almost angle itself to better protect against incoming arrows."
100 CP,Strong Like A Bull ,Dragon Age Inquisition Jump,You have the strength and endurance of an Olympic athlete.
